BM_IgA_1	BM_IgA_2	BM_IgA_3	BM_IgA_4	BM_IgG_1	BM_IgG_2	BM_IgG_3	BM_IgG_4	BM_IgM_1	BM_IgM_3	BM_IgM_4
Mast4	821	654	754	678	520	368	485	647	726	1007	617
Mastl	35	34	35	43	36	25	54	81	22	32	60
Mat1a	0	5	0	1	0	0	0	2	0	1	0
Mat2a	1634	1727	1723	2119	1127	1859	1836	2494	2427	3177	2856
Mat2b	1444	1310	1474	1539	1239	1223	1240	1258	1985	2279	1666
Matk	4	2	25	5	15	17	3	11	67	66	19
Matn1	0	0	1	0	0	0	0	0	1	1	1
Matn2	9	6	8	17	12	36	15	82	306	746	509
Matn3	2	4	1	2	0	39	2	0	1	1	0
Matn4	2	1	2	0	4	3	6	6	1	2	2
Matr3	1615	1526	1491	1465	1129	1566	1268	1906	2250	2583	2043
Matr3-ps2	0	0	1	0	1	1	0	2	0	1	2
Mau2	850	841	973	873	525	893	761	946	1095	1215	1277
Mavs	182	131	190	185	122	177	173	230	229	323	285
Max	376	443	359	314	306	280	160	328	669	759	801
Maz	256	206	260	227	101	203	261	365	270	348	349
Mb	0	0	0	0	1	0	0	0	0	0	1
Mb21d2	6	2	2	3	0	2	2	9	1	1	15
Mbd1	1043	739	1057	1137	519	600	612	851	914	1530	2189
Mbd2	1334	1212	1606	1319	800	989	1392	1005	780	1230	1368
Mbd3	543	621	652	753	703	579	877	904	963	1293	1218
Mbd3l1	0	1	0	0	0	1	0	0	0	0	0
Mbd3l2	1	0	0	0	0	0	0	1	0	0	1
Mbd4	154	177	266	186	180	173	189	285	428	580	463
Mbd5	32	60	114	40	59	82	82	111	72	151	84
Mbd6	27	95	70	45	42	60	82	40	97	58	61
Mbip	131	107	107	113	94	89	105	125	126	206	160
Mbl1	0	1	0	0	0	0	0	1	1	0	1
Mbl2	1	0	3	1	3	0	0	1	0	1	0
Mblac1	26	7	21	14	17	8	6	14	26	34	34
Mblac2	54	56	16	42	46	24	62	28	65	60	44
Mbnl1	2699	2495	2667	3111	1658	2853	2405	3126	2674	3668	3856
Mbnl2	1620	1382	1836	2252	1030	1510	1934	2023	1655	3037	2244
Mboat1	2	3	0	2	3	3	3	3	1	3	6
Mboat2	65	7	27	21	32	33	38	41	32	51	24
Mboat4	1	0	2	0	0	2	2	3	3	2	2
Mboat7	246	230	242	423	280	186	341	253	535	511	545
Mbp	116	115	165	251	62	90	91	172	64	91	156
Mbtd1	145	139	176	233	115	140	143	218	285	267	258
Mbtps1	762	678	866	945	520	712	1066	1117	1102	1577	1413
Mc1r	10	4	8	4	2	4	9	7	10	13	4
Mc2r	0	0	0	0	0	0	0	3	2	2	0
Mc3r	2	0	0	2	2	0	1	7	1	2	2
Mc4r	1	2	0	1	0	2	0	1	0	0	0
Mc5r	3	3	0	2	2	0	0	0	1	0	3
Mcam	13	10	20	2	1	6	4	0	7	3	11
Mcat	261	277	237	316	228	171	301	286	438	383	392
Mcc	287	255	294	213	180	23	208	187	323	263	231
Mccc1	199	167	234	289	177	186	242	227	270	411	290
Mccc1os	8	4	14	11	1	15	8	12	13	19	4
Mccc2	246	199	300	315	244	186	306	270	410	518	375
Mcee	121	147	94	121	118	117	144	166	208	147	174
Mcemp1	1	0	1	1	1	57	0	100	1	0	8
Mcf2l	118	3	3	41	4	4	18	4	1	12	2
Mcfd2	1020	825	1005	1181	968	907	1346	1246	1417	1972	1792
Mchr1	0	0	1	0	0	0	0	0	1	1	0
Mcidas	0	0	0	0	1	0	1	0	0	2	1
Mcl1	7386	7249	8046	6496	4093	6882	8410	7897	9101	10595	11042
Mcm10	36	10	24	32	49	57	109	214	34	17	111
Mcm2	597	399	650	565	479	497	756	961	374	705	1049
Mcm3	194	140	180	190	293	208	403	707	155	270	646
Mcm3ap	237	159	294	307	128	150	275	360	265	236	245
Mcm4	281	146	211	279	282	220	283	859	219	324	555
Mcm5	260	137	259	268	357	273	515	731	98	199	841
Mcm6	1197	832	1175	1277	1084	910	1364	2335	956	1545	2747
Mcm7	316	231	326	368	186	282	348	617	175	409	645
Mcm8	33	44	36	28	82	34	98	75	43	66	57
Mcm9	119	111	184	81	72	92	171	168	130	210	451
Mcmbp	482	396	434	444	204	630	603	876	641	994	1120
Mcmdc2	17	11	23	14	18	13	33	6	40	48	7
Mcoln1	393	432	473	460	274	340	343	316	555	636	469
Mcoln2	894	844	977	1018	441	432	492	612	1817	1893	1163
Mcoln3	2	34	5	21	22	4	14	9	307	238	94
Mcph1	207	190	309	338	277	182	280	340	225	355	413
Mcpt-ps1	0	0	1	0	0	2	0	0	0	0	0
Mcpt1	0	0	2	0	0	0	0	0	1	0	0
Mcpt2	0	0	1	0	0	1	0	0	1	1	0
Mcpt4	2	0	0	0	0	0	0	0	0	0	0
Mcpt8	0	0	1	0	0	0	1	0	2	1	0
Mcpt9	0	0	0	0	1	0	0	0	0	0	0
Mcrip1	444	473	521	482	342	336	379	413	859	1027	778
Mcrip2	24	44	21	36	35	21	28	29	43	46	56
Mcrs1	684	552	714	650	442	401	698	573	654	893	923
Mctp1	7	2	7	1	2	6	5	2	10	14	5
Mctp2	10	4	11	13	17	12	16	64	127	95	83
Mcts2	39	52	54	39	26	63	66	22	48	48	32
Mcu	166	162	193	166	48	127	140	146	283	401	496
Mcub	16	14	19	30	21	14	9	5	1	6	10
Mcur1	160	168	126	157	96	133	198	122	202	292	266
Mdc1	117	71	73	12	135	50	40	62	72	102	163
Mdfi	0	0	0	0	0	2	1	2	2	1	2
Mdfic	152	143	176	184	129	257	135	205	445	459	342
Mdfic2	0	0	0	1	0	0	0	0	6	8	0
Mdga1	30	3	3	1	11	52	1	26	29	28	4
Mdga2	30	3	1	5	10	2	5	0	1	38	28
Mdh1	3527	3200	3162	4015	4040	3767	4509	4956	6523	9467	9284
Mdh1b	0	0	0	0	0	0	0	1	0	0	1
Mdh2	1921	1577	2079	2596	2187	1497	2477	2404	2162	2667	3000
Mdk	0	3	1	1	0	0	0	1	3	0	1
Mdk-ps1	1	0	1	1	0	0	0	0	0	0	1
Mdm1	31	11	76	68	57	22	105	117	18	134	115
Mdm2	1569	1204	1731	1897	969	1427	1310	2001	1154	1788	2533
Mdm4	1077	639	954	1166	723	709	1098	1053	1882	1780	1134
Mdm4-ps	5	4	3	3	8	2	7	0	8	7	3
Mdn1	192	167	259	143	50	77	138	108	227	221	104
Mdp1	405	339	445	486	338	312	439	417	550	625	582
Me1	37	30	23	24	13	16	4	9	11	8	19
Me2	997	736	1012	1108	741	628	768	688	678	932	783
Me3	5	4	6	1	2	6	8	11	2	0	5
Mea1	391	441	434	490	413	362	471	372	532	722	597
Meaf6	123	105	134	128	86	111	90	135	233	260	228
Meak7	90	62	93	78	34	50	55	40	68	154	66
Mecom	1	2	2	3	1	4	0	9	0	2	1
Mecomos	0	1	1	0	1	1	7	0	1	1	1
Mecr	209	144	235	231	189	226	268	170	226	374	182
Med1	562	442	550	742	526	412	399	613	549	883	804
Med10	259	249	326	368	282	225	305	319	478	548	432
Med11	165	175	195	168	84	118	113	106	236	269	188
Med12l	3	7	12	6	4	6	5	6	8	22	3
Med13	715	1154	1148	717	459	713	731	1113	745	1521	1517
Med13l	338	383	469	253	148	216	214	178	315	368	397
Med15	480	455	602	576	223	357	431	483	575	932	746
Med16	404	456	406	452	333	370	515	412	429	516	591
Med17	395	230	396	243	173	241	241	220	329	271	400
Med18	114	88	85	95	63	64	115	135	160	158	132
Med19	163	212	230	215	193	147	207	236	274	349	238
Med20	303	200	341	328	207	279	310	323	322	532	420
Med21	202	179	212	160	165	189	183	178	290	284	262
Med22	245	242	303	408	199	297	374	342	366	468	522
Med23	402	294	369	309	213	327	306	284	280	447	431
Med24	321	479	765	383	200	486	488	389	444	314	453
Med25	641	357	499	785	370	374	424	395	571	770	626
Med26	212	166	216	181	139	172	235	177	176	276	279
Med27	243	201	301	216	125	208	225	268	400	419	386
Med28	1006	911	1021	1074	979	779	758	939	1318	1392	1230
Med29	312	278	342	369	297	276	372	280	352	391	422
Med30	358	290	386	304	282	267	325	333	419	570	400
Med31	147	144	132	86	151	115	116	106	250	178	147
Med4	249	211	248	320	211	190	193	219	243	350	301
Med6	105	115	132	134	92	111	176	157	199	257	151
Med7	215	171	230	309	372	342	381	479	844	867	693
Med8	346	268	312	414	362	312	389	409	499	438	533
Med9	125	98	115	127	100	108	133	117	197	187	188
Med9os	3	1	1	0	3	3	4	0	5	1	0
Medag	1	0	2	1	0	2	0	2	0	1	0
Mef2a	1195	1038	1379	957	628	931	705	863	950	1571	1476
Mef2b	85	77	138	378	349	280	396	451	401	620	575
Mef2c	4271	3793	5489	4222	2616	3078	3218	3895	5390	8049	5794
Mef2d	848	646	1026	729	465	891	991	960	622	1229	1301
Mefv	0	2	0	0	0	2	1	2	0	1	0
Meg3	3	12	31	5	1	19	18	8	8	3	49
Megf10	3	2	0	1	4	1	1	1	2	2	2
Megf11	6	0	22	1	1	2	1	5	14	5	1
Megf6	1	1	1	8	1	1	1	5	1	3	0
Megf8	24	42	56	24	14	31	59	46	46	44	35
Megf9	9	7	9	24	8	29	17	7	7	10	18
Mei1	2	1	0	2	1	0	1	4	3	8	44
Mei4	0	1	0	2	0	2	1	0	3	2	1
Meig1	0	0	1	0	0	0	0	0	2	2	1
Meikin	1	0	0	0	0	0	0	0	0	2	0
Meiob	0	0	0	1	0	0	1	0	0	1	0
Meioc	6	0	1	5	0	3	0	0	0	5	0
Meiosin	2	0	2	2	2	1	0	0	0	0	2
Meis1	2	4	6	8	1	2	2	1	12	13	12
Meis2	23	10	3	1	9	7	3	7	7	6	0
Meis3	216	179	307	255	120	98	52	67	180	205	128
Melk	27	22	27	51	61	40	80	163	20	41	112
Meltf	25	2	40	3	3	34	0	2	27	23	1
Memo1	213	171	247	194	188	213	291	274	258	164	307
Men1	1009	603	803	1063	503	540	825	635	549	932	890
Meox1	0	1	2	0	0	0	2	0	0	1	0
Meox2	0	1	0	0	0	0	0	0	0	0	2
Mep1a	0	0	0	1	0	0	0	1	11	0	0
Mep1b	0	8	0	1	4	0	1	0	0	0	8
Mepce	146	92	166	123	56	97	76	102	212	239	198
Mepe	0	0	0	0	0	0	0	1	0	0	0
Mertk	1	1	1	0	0	3	3	1	0	0	3
Mesd	265	316	342	535	368	252	648	426	428	892	822
Mesp1	0	0	0	1	2	0	0	0	0	0	0
Mesp2	4	0	0	2	0	3	0	1	0	1	0
Mest	0	27	0	6	14	6	7	17	2	2	0
Met	5	7	0	1	1	1	1	3	1	0	2
Metap1	177	191	227	225	133	226	268	233	268	364	342
Metap1d	100	140	180	117	135	166	191	146	271	301	173
Metap2	876	706	913	1859	954	843	1052	1269	1134	1398	1514
Metazoa_SRP	5	5	5	6	3	8	2	10	4	1	10
Methig1	0	0	0	0	0	0	0	0	0	0	0
Metrn	245	247	310	222	240	194	260	252	145	231	266
Metrnl	149	180	203	247	94	129	153	123	83	188	201
Mettl1	357	341	444	474	337	292	448	467	571	719	557
Mettl11b	0	0	0	0	0	0	0	0	0	0	1
Mettl14	108	81	158	115	85	70	99	143	153	258	119
Mettl15	155	67	102	90	77	92	91	129	162	173	164
Mettl16	276	341	332	358	249	330	380	466	379	582	503
Mettl17	173	183	497	212	521	361	195	174	248	610	212
Mettl18	108	85	106	120	59	75	96	106	151	215	124
Mettl2	99	96	112	155	103	135	173	145	119	190	167
Mettl21a	135	179	195	105	83	113	148	200	211	224	225
Mettl21c	13	3	7	25	1	9	10	3	9	8	1
Mettl21e	4	0	10	1	1	1	3	5	0	1	1
Mettl22	84	58	91	42	109	89	112	79	184	259	88
Mettl23	776	633	628	699	451	524	669	614	932	924	779
Mettl24	1	0	0	0	1	0	4	0	2	0	0
Mettl25	39	86	78	61	47	71	66	89	85	131	139
Mettl26	385	383	462	414	331	330	375	295	622	499	417
Mettl27	4	18	12	15	6	11	16	1	4	8	2
Mettl3	191	186	207	229	167	165	216	191	327	279	248
Mettl4	152	152	195	258	156	177	221	310	240	386	379
Mettl4-ps1	3	1	0	1	0	0	2	0	1	2	1
Mettl5	180	157	202	236	179	184	184	167	199	266	141
Mettl5os	2	2	2	2	2	1	1	1	5	3	4
Mettl6	268	234	377	499	406	487	432	292	563	601	378
Mettl7a1	341	406	426	284	162	355	294	263	217	321	325
Mettl7a2	0	0	0	3	0	1	0	0	0	0	1
Mettl7a3	0	0	5	0	2	0	0	0	0	0	0
Mettl7b	1	0	0	0	0	0	1	0	1	0	0
Mettl8	110	93	189	138	75	73	94	75	177	271	150
Mettl9	361	345	378	402	335	386	506	488	689	773	699
Mex3a	24	11	19	9	13	5	11	13	5	17	3
Mex3b	4	10	11	11	1	4	7	6	0	2	13
Mex3c	250	205	332	218	87	141	126	149	192	222	264
Mex3d	76	96	116	65	44	62	86	61	90	131	135
Mexis	39	15	30	121	16	7	6	6	62	92	17
Mfap1a	307	354	378	342	200	301	300	314	437	586	430
Mfap1b	725	715	748	956	486	622	577	760	1013	1238	1085
Mfap2	0	0	1	0	0	0	1	0	0	1	2
Mfap3	329	257	403	338	243	197	339	364	391	533	361
Mfap3l	5	2	6	4	1	6	1	0	8	6	10
Mfap4	0	1	0	1	0	0	0	1	1	1	1
Mfap5	0	0	0	0	1	0	1	0	0	0	0
Mff	1005	981	1194	1184	902	1028	1051	1219	1186	1442	1443
Mfge8	200	176	210	160	82	80	54	109	46	134	252
Mfhas1	126	106	156	96	30	45	105	136	156	301	186
Mfn1	202	224	251	292	156	306	461	483	272	158	212
Mfn2	622	399	692	584	303	466	547	634	555	953	822
Mfng	211	112	279	275	131	134	130	231	275	467	327
Mfrp	2	0	3	0	1	9	0	3	2	0	0
Mfsd1	859	570	739	667	527	730	499	518	977	942	560
Mfsd10	495	350	413	589	268	220	263	330	575	663	456
Mfsd11	483	629	727	521	472	648	666	395	687	1026	866
Mfsd12	116	82	143	165	99	103	144	133	83	146	238
Mfsd13a	70	33	50	31	23	49	45	25	11	9	87
Mfsd13b	24	4	18	10	6	17	8	20	9	10	4
Mfsd14a	1028	937	957	1261	979	984	1321	1173	1650	2009	1859
Mfsd14b	595	418	584	558	499	586	641	792	835	936	893
Mfsd2a	15	66	25	42	22	19	53	48	17	21	91
Mfsd2b	2	12	8	10	4	9	2	2	6	27	7
Mfsd3	178	111	77	96	112	83	37	47	144	175	109
Mfsd4a	168	157	176	161	418	867	575	388	408	857	503
Mfsd4b1	2	0	1	0	0	8	0	0	0	0	0
Mfsd4b2	0	0	2	0	0	0	0	0	3	0	0
Mfsd4b3-ps	0	2	2	0	0	0	0	0	0	1	1
Mfsd4b4	25	16	33	38	17	18	15	21	57	104	27
Mfsd4b5	21	4	18	11	15	7	16	10	2	25	19
Mfsd5	629	584	698	829	599	510	691	694	711	939	872
Mfsd6	334	267	310	322	139	214	236	206	313	439	218
Mfsd6l	3	0	1	0	0	0	0	0	4	2	9
Mfsd7a	0	1	2	1	2	1	1	0	0	4	1
Mfsd8	164	151	159	246	221	139	155	193	289	238	317
Mfsd9	6	11	9	7	9	5	16	12	33	30	24
Mga	326	306	434	278	182	218	224	394	478	549	352
Mgam	14	0	24	7	1	1	1	2	29	14	11
Mgam2-ps	2	0	6	0	3	0	3	0	5	1	1
Mgarp	20	19	21	23	104	79	197	59	37	25	15
Mgat1	7140	4809	5989	9219	5180	5560	6991	7061	5876	8051	9845
Mgat2	3166	2168	2895	5112	2197	2158	3703	3328	2115	3601	5332
Mgat3	314	229	327	278	4	11	2	7	14	5	2
Mgat4a	322	284	222	103	344	220	223	235	379	714	396
Mgat4b	147	99	159	109	64	87	78	95	141	229	77
Mgat4c	2	1	14	1	1	16	1	3	15	3	1
Mgat4d	2	1	2	1	1	0	2	0	0	2	0
Mgat4e	0	0	1	1	0	2	0	0	1	0	0
Mgat4f	0	0	0	0	0	0	0	0	0	0	0
Mgat5	34	21	30	5	14	26	25	28	30	26	49
Mgat5b	2	2	4	0	1	4	2	2	1	2	0
Mgl2	0	0	2	0	0	8	0	0	1	0	0
Mgll	152	188	157	119	308	339	517	95	439	580	72
Mgme1	119	136	123	117	65	104	153	150	137	152	165
Mgmt	3	5	1	5	2	15	0	17	83	49	15
Mgp	0	0	0	0	0	115	0	0	0	0	0
Mgrn1	1044	708	770	964	700	888	828	868	891	1428	1118
Mgst1	2	16	8	26	30	78	3	7	207	126	51
Mgst2	275	283	313	378	403	386	475	560	923	1094	981
Mgst3	22	12	5	23	27	28	23	20	29	43	30
Mhrt	0	1	0	1	1	0	0	0	0	4	0
Mia	1	0	0	1	3	160	0	1	0	0	1
Mia2	1404	1139	1404	2082	1347	1468	2018	2421	1764	2570	2796
Mia3	1504	1292	1786	1852	1010	1454	1535	1969	1748	2717	2388
Miat	2	0	0	1	0	0	66	3	0	0	1
Mib1	635	903	652	550	474	708	612	761	475	763	680
Mib2	335	157	257	351	122	201	204	215	290	333	407
Mical1	400	305	299	436	169	224	266	322	335	477	474
Mical2	9	20	27	7	2	126	5	17	1	11	63
Mical3	43	42	124	128	72	56	184	29	203	150	69
Micall1	154	107	160	117	108	141	114	112	185	234	141
Micall2	5	7	1	0	9	16	8	5	4	6	3
Micos10	1005	1024	1035	1041	1278	1273	1459	1563	1738	1729	2253
Micos13	587	560	474	483	485	545	575	416	672	838	701
Micu1	333	275	370	478	229	191	269	265	543	646	547
Micu2	1140	921	1006	908	811	817	855	859	1283	1445	1251
Micu3	49	40	41	42	27	22	43	43	49	50	47
Mid1-ps1	0	0	0	0	0	0	0	0	0	3	0
Mideas	147	71	149	99	108	67	119	140	165	244	144
Midn	17	20	24	15	7	19	9	6	45	47	37
Mief1	199	241	421	333	237	301	325	391	280	397	446
Mief2	67	105	106	164	82	124	97	95	87	113	182
Mien1	607	546	604	725	556	547	734	693	779	861	866
Mier1	545	463	559	386	410	339	178	341	479	488	519
Mier2	152	159	131	183	88	127	187	129	178	272	253
Mier3	128	190	151	115	99	185	159	165	207	292	231
Mif	1254	1071	1198	973	992	843	1294	1108	1008	1098	1217
Mif-ps1	5	0	1	0	0	0	0	0	0	0	0
Mif-ps10	0	0	0	0	0	0	0	0	0	0	0
Mif-ps11	0	0	0	0	0	0	0	0	0	0	0
Mif-ps3	1	1	0	0	1	0	0	0	0	0	0
Mif-ps4	0	0	0	0	0	1	0	0	0	0	0
Mif-ps6	0	2	1	1	3	3	4	3	4	1	3
Mif-ps7	0	0	0	0	0	0	0	0	0	0	1
Mif-ps8	1	0	2	0	1	0	1	0	1	7	0
Mif-ps9	0	1	1	1	0	0	1	0	1	2	1
Mif4gd	649	623	721	825	368	441	362	764	1395	2065	1250
Miga1	444	390	409	332	238	376	566	441	490	536	558
Miga2	106	55	84	107	54	47	83	94	56	109	95
Miip	283	213	266	241	211	189	200	222	314	292	289
Mill1	0	2	2	0	0	1	0	0	0	0	0
Mill2	1	1	10	10	1	11	1	4	0	5	1
Milr1	213	195	175	186	164	144	190	119	217	217	169
Minar1	113	138	130	10	101	86	56	9	11	75	13
Minar2	6	2	6	2	0	0	0	4	1	1	1
Mindy1	599	623	822	550	343	453	643	480	543	642	627
Mindy2	571	645	610	694	456	576	552	632	776	1029	798
Mindy3	243	219	222	239	181	186	221	325	313	441	323
Mindy4	5	5	0	1	1	0	0	1	3	6	0
Mindy4b-ps	1	1	0	0	0	0	1	0	0	0	1
Mink1	142	130	135	164	49	106	238	193	184	333	268
Minpp1	747	531	712	797	543	624	661	830	782	974	917
Minpp1-ps	0	1	1	1	0	0	0	0	0	0	0
Mios	356	269	352	375	248	272	353	403	396	610	458
Miox	0	1	1	2	1	1	2	2	0	3	0
Mip	1	1	1	1	3	0	2	1	3	2	4
Mipep	184	160	208	195	156	133	190	164	290	291	253
Mipep-ps	0	0	0	0	0	0	0	0	0	0	0
Mipepos	0	0	2	0	0	0	0	0	1	1	0
Mipol1	40	52	72	73	48	38	58	51	106	113	61
Mir100	0	0	0	0	0	0	0	0	0	0	0
Mir100hg	5	4	8	2	6	6	2	18	8	5	1
Mir101a	0	0	0	0	0	0	0	0	0	0	0
Mir101b	0	0	0	0	0	0	0	0	0	0	0
Mir101c	0	0	0	0	0	0	0	0	0	0	0
Mir103-1	0	0	0	0	0	0	0	0	0	0	0
Mir103-2	0	0	0	0	0	0	0	0	0	0	0
Mir106a	0	0	0	0	0	0	0	0	0	0	0
Mir106b	0	0	0	0	0	0	0	1	0	0	0
Mir107	0	0	0	0	0	0	0	0	0	0	0
Mir10a	0	0	0	0	0	0	0	0	0	0	0
Mir10b	0	0	0	1	0	0	0	0	0	0	0
Mir1187	0	0	0	0	0	0	0	0	0	0	0
Mir1188	0	0	0	0	0	0	0	0	0	0	0
Mir1190	0	0	0	0	0	0	0	0	0	2	0
Mir1191	0	0	0	0	0	0	0	4	1	0	0
Mir1191b	0	0	0	0	0	0	0	0	0	0	0
Mir1192	0	0	0	0	0	0	0	0	0	0	0
Mir1193	0	0	0	0	0	0	0	0	0	0	0
Mir1195	0	0	0	0	0	0	0	0	0	0	0
Mir1197	0	0	0	0	0	0	0	0	0	0	0
Mir1198	0	0	0	0	0	0	0	0	0	0	0
Mir1199	0	0	0	0	0	0	0	0	0	0	0
Mir122	0	0	0	0	0	0	0	0	0	0	0
Mir1224	0	0	0	0	0	0	0	0	0	0	0
Mir1231	0	0	0	0	0	0	0	0	0	0	0
Mir124-2hg	22	4	3	6	8	3	2	1	3	1	3
Mir1247	0	0	0	0	1	0	0	0	0	0	0
Mir1249	0	0	0	0	0	0	0	0	0	0	0
Mir124a-1	0	0	0	0	0	0	0	0	0	0	0
Mir124a-1hg	1	1	6	5	3	0	0	10	22	1	0
Mir124a-2	0	0	0	0	0	0	0	0	0	0	0
Mir124a-3	0	0	0	0	0	0	0	0	0	0	0
Mir1251	0	0	0	0	0	0	0	0	0	0	0
Mir1258	0	0	0	0	0	0	0	0	0	0	0
Mir125a	0	0	0	0	0	0	0	0	0	0	0
Mir125b-1	0	0	0	0	0	0	0	0	0	0	0
Mir125b-2	0	0	0	0	0	0	0	0	0	0	0
Mir1264	0	0	0	0	0	0	0	0	0	0	0
Mir126a	0	0	0	0	0	0	0	0	0	0	0
Mir126b	0	0	0	0	0	0	0	0	0	0	0
Mir127	0	0	0	0	0	0	0	0	0	0	0
Mir128-1	0	0	0	0	0	0	0	0	0	0	0
Mir128-2	0	0	0	0	0	0	0	0	0	0	0
Mir129-1	0	0	0	0	0	0	0	0	0	1	0
Mir129-2	0	0	0	0	0	0	0	0	0	0	0
Mir1291	0	0	0	1	1	0	0	0	1	0	2
Mir1298	0	0	0	0	0	0	0	0	0	0	0
Mir129b	1	0	0	0	0	0	0	0	0	0	0
Mir1306	0	0	0	0	0	0	0	0	0	0	0
Mir130a	0	0	0	0	0	0	0	0	0	0	0
Mir130b	0	0	0	0	0	0	0	0	0	0	0
Mir130c	0	0	0	1	0	0	0	0	0	0	0
Mir132	0	0	0	0	0	0	0	0	0	1	0
Mir133a-1	0	0	0	0	0	0	0	0	0	0	0
Mir133a-1hg	1	0	1	1	3	0	3	1	1	0	1
Mir133a-2	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0
Mir133c	0	0	0	0	0	0	0	0	0	0	0
Mir134	0	0	0	0	0	0	0	0	0	0	0
Mir135a-1	0	0	0	0	0	0	0	0	0	0	0
Mir135a-2	0	0	0	0	0	0	0	0	0	0	0
Mir135b	0	0	0	0	0	0	0	0	0	0	0
Mir136	0	0	0	0	0	0	0	0	0	0	0
Mir137	0	0	0	0	0	0	0	0	0	0	0
Mir138-1	0	0	0	0	0	0	0	0	0	0	0
Mir138-2	0	1	0	0	0	0	0	0	0	0	0
Mir139	0	0	0	0	0	0	1	0	0	0	0
Mir140	0	0	0	0	0	0	0	0	0	0	0
Mir141	0	0	0	0	0	0	0	0	0	0	0
Mir142	0	0	0	0	0	0	0	0	0	0	0
Mir142b	0	0	0	1	2	0	1	0	0	0	0
Mir142hg	8	5	5	8	5	2	5	9	6	5	4
Mir143	0	0	0	0	0	0	0	0	0	0	0
Mir144	0	0	0	0	0	0	0	0	0	0	0
Mir145a	0	0	0	0	0	0	0	0	0	0	0
Mir145b	0	0	1	0	0	0	0	0	0	0	0
Mir146	0	0	0	0	0	0	0	0	0	0	0
Mir146b	0	0	0	0	0	0	0	0	0	0	0
Mir147	0	0	2	0	0	0	0	0	0	2	0
Mir148a	0	0	1	1	0	0	0	0	0	0	0
Mir148b	0	0	0	0	0	0	0	0	0	0	0
Mir149	0	0	0	0	0	0	0	0	0	0	0
Mir150	0	0	0	0	0	0	0	0	0	0	0
Mir151	0	0	0	0	0	1	1	0	0	0	0
Mir152	0	0	0	0	0	0	0	0	0	0	0
Mir153	0	0	0	0	0	0	0	0	0	0	0
Mir154	0	0	0	0	0	0	0	0	0	0	0
Mir155	0	0	0	0	0	0	0	0	0	0	0
Mir155hg	15	5	8	27	4	9	4	9	11	10	13
Mir15a	0	0	0	0	0	0	0	0	0	0	0
Mir15b	0	0	0	0	0	0	0	0	0	0	0
Mir16-1	0	0	0	0	0	0	0	0	0	0	0
Mir16-2	0	0	0	0	0	0	0	0	0	0	0
Mir1668	1	0	0	0	0	0	1	0	1	1	0
Mir17	0	0	0	0	0	0	0	0	0	2	0
Mir17hg	17	22	12	34	5	7	9	17	7	19	13
Mir18	0	0	0	0	0	0	0	0	0	0	0
Mir181a-1	0	0	0	0	0	0	0	0	0	0	0
Mir181a-1hg	2	0	7	2	4	6	13	2	11	7	4
Mir181a-2	0	0	0	0	0	1	0	0	0	0	0
Mir181b-1	0	0	0	0	0	0	0	0	0	0	0
Mir181b-2	0	0	0	0	0	0	0	0	0	0	0
Mir181c	0	0	0	0	0	0	0	0	0	0	0
Mir181d	0	0	0	0	0	0	0	0	0	0	0
Mir182	0	0	0	0	0	0	0	0	0	0	0
Mir183	0	0	0	0	0	0	0	0	0	0	0
Mir1839	0	0	0	0	0	0	0	0	0	0	0
Mir184	0	0	0	0	0	0	0	0	0	0	0
Mir1843a	0	0	0	0	0	0	0	0	0	0	0
Mir1843b	0	0	0	0	0	0	0	0	0	0	0
Mir185	0	0	0	1	0	0	0	0	0	0	0
Mir186	0	0	0	0	0	0	0	0	0	0	0
Mir187	0	0	0	0	0	0	0	0	0	1	0
Mir1892	8	5	0	0	0	0	0	7	0	0	9
Mir1893	0	0	0	0	0	0	0	0	0	0	0
Mir1894	0	0	0	0	0	0	0	0	0	0	0
Mir1895	0	0	0	0	0	0	0	0	0	0	0
Mir1896	0	0	0	0	0	0	0	0	0	0	0
Mir1897	0	0	0	0	0	0	0	0	0	0	0
Mir1898	0	0	2	0	0	0	0	0	0	0	0
Mir1899	0	0	0	0	0	0	0	0	0	0	0
Mir18b	0	0	0	0	0	0	0	0	0	0	0
Mir1900	0	0	0	0	0	0	0	0	0	0	0
Mir1901	0	0	0	0	0	0	0	0	0	0	0
Mir1902	0	0	0	0	0	0	0	5	0	0	0
Mir1903	0	0	0	0	0	0	0	0	0	0	0
Mir1904	0	0	0	0	0	0	0	0	0	0	0
Mir1905	0	1	0	0	0	0	0	0	0	0	0
Mir1906-1	1	0	0	0	0	0	0	1	0	0	0
Mir1906-2	1	1	0	0	0	0	0	0	0	0	0
Mir1907	0	0	0	0	0	0	0	0	0	1	0
Mir190a	0	0	0	0	0	0	0	0	0	0	0
Mir190b	0	0	0	0	0	0	0	0	0	0	0
Mir191	0	0	0	0	1	0	0	0	0	0	0
Mir1911	0	0	0	0	0	0	0	0	0	0	0
Mir1912	0	0	0	0	0	0	0	0	0	0	0
Mir192	0	0	0	0	0	0	0	0	0	0	0
Mir1927	0	0	0	0	0	0	0	0	0	0	0
Mir1928	0	0	0	0	0	0	0	0	0	0	0
Mir1929	0	1	0	0	0	0	0	0	0	1	0
Mir1930	3	0	1	2	1	0	1	0	1	1	0
