mouse_gene_symbol	mouse_chromosome
Gm33497	15
Vmn1r-ps32	6
Osr2	15
Arl13b	16
Etnk1	6
Gm94	18
Atxn7l1os1	12
Twf2	9
Atxn7l1os2	12
BC048602	15
Gm25986	16
Gm41715	18
1700034P13Rik	1
Stx19	16
Efcab10	12
Gm50206	18
Gm50207	18
4921515G04Rik	15
Pros1	16
Spink5	18
Ly6h	15
Dnah11	12
1700126G02Rik	6
Vmn1r52	6
Sdccag8	1
V1ra8	6
Gm18870	16
Vmn1r53	6
Gm49621	16
Gm11364	13
Gm33912	16
Gm4287	6
Gm49622	16
D6Ertd474e	6
E2f3	13
Hira	16
Vmn1r-ps34	6
4930579O11Rik	8
Gm17169	8
Polr1a	6
Gm17072	8
Pygm	19
Gpihbp1	15
Gm25267	8
Gm9520	8
Gm38590	8
Zfp90	8
Gm16071	9
Zfp41	15
Gm11365	13
Tlr9	9
Gm11368	13
Gm47259	13
Gm15344	10
Gm11367	13
Mboat1	13
Cand1	10
Alas1	9
6030452D12Rik	8
Gm46519	15
Spink14	18
2810039B14Rik	15
Cdh3	8
Gm8390	18
Vps13b	15
Spink6	18
Gm6525	3
Gm23206	13
Gm11366	13
4930565D16Rik	3
Iars	13
Exoc6	19
Ndst4	3
Tcp11x2	X
Spink12	18
Olfr1322	X
Gm38158	1
Gm47506	12
Gm38053	1
Gm15033	X
Gm23272	6
Gm37797	18
4930579D09Rik	6
Gm37246	1
Pygl	12
Tmsb15a	X
Gm10267	18
Gm15799	16
Vmn1r54	6
Mettl21c	1
Gm10073	8
Gm15798	16
Gm18747	16
1110028F18Rik	8
1700060C16Rik	6
Gm10088	16
4930500F10Rik	9
4930477N07Rik	10
Gm43891	6
2010309G21Rik	16
Spinkl	18
Ugt8a	3
Gm19078	6
Gm19090	10
Iglc1	16
Il15	8
Olfr1323	X
Iglj1	16
Gm26628	6
Tmprss5	9
Ttc41	10
Iglc3	16
9130221F21Rik	6
Gm15019	X
Gm8952	6
Iglj3p	16
Gm37490	1
Gm44604	6
Iglj3	16
Gm15423	1
Spink11	18
Gm7803	X
Iglv1	16
BC048671	6
Gm14612	X
Gm15838	1
Gm22288	X
Armcx5	X
Gm37519	1
Gm18748	16
Gm8251	1
Iglc4	16
Iglj4	16
Gm42827	3
Niban1	1
Gm10542	18
Iglc2	16
Gm24771	15
Gm48966	15
Fhdc1	3
Gm7968	15
Npy6r	18
Olfr1324	X
Iglj2	16
Chst13	6
Mir599	15
Mir875	15
Gm18994	15
Gm43388	16
9130002K18Rik	15
Gm42870	16
Gm48965	15
Gm41717	18
Iglv3	16
Gm48961	15
Myot	18
F730035M05Rik	12
Gm14620	X
Top1mt	15
St3gal5	6
A530030E21Rik	16
Gprasp1	X
Iglv2	16
Gm49602	12
Polr1f	12
Mir6977	17
Znrf4	17
Olfr164	16
Tincr	17
Gm22158	16
Olfr165	16
Gm25138	8
Cyp26c1	19
Gm8167	8
Gm9655	8
Gm25762	16
Gm23529	12
Gm9368	12
Olfr166	16
Gm9370	12
Cdh1	8
Gm40383	12
Traf7	17
Gm18916	3
Mir7646	X
Ferd3l	12
Mir1970	X
Cyp26a1	19
Firre	X
Arsj	3
Olfr167	16
Twist1	12
Gm15945	15
Olfr168	16
Sp4	12
Gm17225	3
Cox6c	15
Gm43327	3
Gm20568	3
Olfr169	16
Gm9066	19
Arfip1	3
Gm25394	13
Dcp2	18
Gm23482	13
Gm9067	19
Dna2	10
Gm4757	19
Agtr1a	13
Epha3	16
Gm25577	12
D230030E09Rik	12
Gm29438	6
4933431G14Rik	6
Gm9267	12
Gm18441	12
Gm38832	6
Rasgrp2	19
Rgs22	15
Gm29689	12
Atoh8	6
Gm6171	12
Sp8	12
Uroc1	6
Bhlhb9	X
Gm48161	13
Abcb5	12
Gm19334	13
Gm11369	13
Gm270	13
Gm30302	13
2810414N06Rik	1
Zfp330	8
Mcc	18
Gm15182	1
Cryz	3
Gm5257	1
Gm4894	9
Uqcrfs1	13
Gm29065	1
Drd2	9
Gm18889	15
Gm29068	1
Fbxo43	15
Gm29069	1
Gm47977	13
Gm17751	1
4930519D14Rik	13
Gm18921	12
Gm7251	13
Itgb8	12
Mir6343	1
Gm272	13
Gm816	1
Gm22979	15
Gm8672	13
Gm38265	1
Ankk1	9
Rhpn1	15
Gm19011	13
Gm48009	13
Akt3	1
Gm8674	13
Gm10784	13
Gm48051	13
Stk26	X
Gm17611	13
Gm13155	4
Gm6554	13
Gm17662	4
Gm48052	13
Gm16211	4
LOC667541	13
Lrrc1	9
Zfp534	4
Gm8700	13
Gm48054	13
Gm13137	4
4933433N18Rik	13
Gm13136	4
Gm31545	8
Gm13148	4
Gm47412	13
Fndc5	4
Rnf150	8
A930012L18Rik	18
Gm2645	13
Rps6ka5	12
Gm47413	13
Ptpn6	6
Gm50263	18
Dusp22	13
Gm43425	18
Ythdc2	18
Zfp984	4
Gm18212	8
Gm45449	8
Gm20707	4
Gm10645	8
Rps19-ps3	4
Zfp933	4
Tango6	8
Frmd7	X
Gm22769	16
Fyb2	4
Gm49627	16
Fabp3-ps1	10
Olfr170	16
Gm49358	10
Csnka2ip	16
Olfr171	16
Nt5dc3	10
Gm11370	13
Gm906	13
Polr2k	15
Gm49596	16
Rap2c	X
4930453N24Rik	16
Gm5387	X
Gm31126	13
Zfp654	16
Mbnl3	X
Gm8739	13
Mafa	15
Zc3h3	15
Lamp3	16
Fbxw17	13
Gm31706	18
Gm12721	4
Gm50123	18
Gm16268	10
Prkaa2	4
Gm6663	18
Gm37960	1
Gm26928	18
Gm37106	1
Gm17799	16
Gm37598	1
Gm4839	18
Stab2	10
Cggbp1	16
Gm38146	1
Gm50124	18
Gm37706	1
Gm37463	1
Gm38328	1
Kcnn2	18
Gm9061	16
Gm26801	1
Gm16385	16
Htr1f	16
Plpp3	4
Gm23747	15
Spag1	15
Gm22429	16
Zbtb18	1
Gm9584	16
Gm49629	16
Gm49631	16
Gm12722	4
Gm12723	4
Gm12726	4
Has3	8
B3gnt5	16
	4
Gm12729	4
Gm14965	19
Gm12727	4
Gm26047	4
Hspd1-ps4	4
Gm12724	4
Gm19569	9
Gm12731	4
Gm21013	9
Gm12730	4
Kmt5b	19
Klhl31	9
Gm37253	4
Btf3-ps10	X
Gm47429	13
Gm5388	X
Ncoa4-ps	12
Nutm2	13
Gm49703	12
Gm14621	X
Gm48586	12
Miip	4
Gm47790	9
Chtf8	8
Gm38139	3
Gm48585	12
Gm47789	9
Gm47795	9
Gm29856	1
Gm2614	12
Gm37240	3
Flna	X
Gm25801	12
Ttc12	9
Gm37306	1
Mir683-1	13
Macc1	12
Gm20789	13
Gm37280	1
Mir683-2	13
Gm8813	3
Gm49597	16
Irf4	13
Gm38241	3
A930003A15Rik	16
Tigd4	3
Tex30	1
Tmem154	3
Gm18032	12
Pou1f1	16
Gm48681	12
Gm9279	12
Derpc	8
Gm48685	12
Gm9280	12
Gm48686	12
Tbc1d9	8
Gm10540	18
Erich3	3
Tmem196	12
Gm18652	18
Gm31907	18
A330093E20Rik	18
Gclc	9
Gm23754	15
Gm41293	15
Rnf19a	15
Gm50125	18
Gm26262	18
Gm38337	18
Gm27236	12
Trim36	18
Gm20389	3
Dglucy	12
Gm49598	16
4932438A13Rik	3
Chmp2b	16
Gm29675	13
Gm904	13
Gm34654	9
Gm47818	9
Gm19572	9
Mir8097	15
Gm9501	15
Gm47824	9
Klhl6	16
Fv1	4
Rpl7a-ps3	15
1700018A14Rik	18
Gm33936	15
Gm8765	13
Pggt1b	18
Gm34150	15
Poc1a	9
Gm34093	15
Gm49224	15
S100pbp	4
4930518P08Rik	13
Ankrd46	15
Gm2654	13
Gm49633	16
Gm19009	13
Gm5221	16
Gm22199	13
Vgll3	16
Spin1	13
Gm17999	8
Ucp1	8
Gm7366	16
Gm49246	15
Gm49635	16
Cntn1	15
Gm22448	16
Klhl24	16
Nxnl2	13
Ccdc112	18
Utp4	8
H2af-ps2	13
Zxdc	6
Gm29787	13
Gm6056	13
Gm47554	13
Gm32834	13
S1pr3	13
Gm37858	1
2310043L19Rik	1
4930415P13Rik	18
Gm4840	18
Gm4107	18
Cadm2	16
Erbin	13
Mospd4	18
Edem3	1
Gm3720	18
Fem1c	18
Ager	17
Ticam2	18
Gm29123	9
Tmed7	18
Gm48771	12
Elovl5	9
Gm8482	12
Gpr68	12
Rpl10-ps2	8
Sntb2	8
Eif1a	18
Gm20531	6
Gm34829	9
Gm23609	9
Dusp7	9
Krba1	6
Gm53034	12
Trim9	12
Gm22085	8
Gm16208	8
Gm39375	9
1700010K23Rik	16
Gm3734	18
Gm47829	9
4933411O13Rik	16
Elmod2	8
Cdo1	18
Gm49640	16
Gm15828	16
Gm49648	16
Aplp2	9
Usp24	4
Gm49649	16
Gm18495	16
Gm49650	16
Gm24681	16
Gm49651	16
Gm26760	15
Pdzrn4	15
Brwd1	16
Ncoa7	10
Atg12	18
Ap3s1	18
4930588J15Rik	15
Gm49418	15
Gm18815	15
Gm30085	15
Gm18685	15
Mgat4d	8
Gm49420	15
Gm4335	15
Snx31	15
Rnf5	17
Gm29247	1
Gm15660	8
A430019L02Rik	18
1700016C15Rik	1
Gm49971	18
Vps4a	8
Gm49972	18
Gm20463	17
Lvrn	18
Rab26	17
1700025G04Rik	1
Gm23610	18
Yars	4
Gm49973	18
Arl14epl	18
Gm16209	8
Pdf	8
Gm25279	1
Gm28610	1
Gxylt1	15
Gm3744	18
Gm8964	1
Gm49974	18
Cog8	8
Gm38238	1
Adss	1
Commd10	18
Safb2	17
Clgn	8
Pabpc1	15
C030015A19Rik	6
Pcsk9	4
Gm16585	1
Grcc10	6
Catspere1	1
Gm45234	6
Tsen15	1
Rnu7	6
Hs6st2	X
Atn1	6
Gm22791	18
Gcm1	9
Hspe1-rs1	18
Gm8468	18
Gm49975	18
Nip7	8
Bsnd	4
Gm8058	9
Sema6a	18
Gm7244	9
4930517E14Rik	9
Gm53010	4
Gm14581	X
Usp26	X
Ncam1	9
Yaf2	15
Cfap100	6
Epha4	1
Tmem61	4
Gm16066	19
Tmed6	8
2700068H02Rik	4
Gm7840	X
Gm22539	X
Nrxn2	19
Magea14	X
C77080	4
Scoc	8
Gm48747	12
Gm49262	15
Gm32151	12
Gm26371	15
Gm6704	15
Gm46515	15
Tmx1	12
Gm10385	15
Sh3kbp1	X
Gm49263	15
Zcrb1	15
Rab26os	17
Snord60	17
Gm33508	17
Gm48847	12
Gm32219	12
Gm24474	12
Gm47290	12
Agpat1	17
Gm48866	12
Gm32369	12
Gm44117	6
Gm40437	12
Klf15	6
Hdac9	12
Gm12976	4
Rpl29	9
Sync	4
Gm5910	8
Gm33242	8
Olfr370	8
Gm44421	6
Ywhaz	15
Gm45901	6
Gm18000	8
Ndufb7	8
Zfp467	6
Gm11149	9
Dhcr24	4
Gm25633	9
Gm47543	9
Terf2	8
Gm8907	9
Gm4042	9
2310003N18Rik	9
Gm39336	9
Rpl10-ps3	9
Plet1os	9
Plet1	9
Pkd1	17
Gm46542	16
Gm18496	16
4930428D20Rik	16
Speer2	16
Prdm10	9
Gm12744	4
Mir6352	1
Rbbp4	4
Gm49282	15
Colgalt2	1
Gm10384	15
Gm49655	16
Gm19082	16
Gm41300	15
Gm49656	16
Gm34590	15
Gm49657	16
Gm15342	16
Zfp706	15
1700093J21Rik	16
Gm49953	16
Sox5	6
Hmgn1	16
Gm16280	10
Gm16270	10
Gm26766	15
Gm48335	10
Gm9509	15
Gm16271	10
Gm8664	15
Gm16136	15
Gm48334	10
Gm28386	1
Lexm	4
Gm16269	10
Gm28385	1
Gm26263	1
Get1	16
Gm28387	1
Grhl2	15
Fbxo9	9
Rufy2	10
Poglut2	1
Safb	17
Gm47849	13
Gm47851	13
Mir7075	8
C630050I24Rik	8
Shc3	13
Cyb5b	8
Gm49928	16
Gbe1	16
Ttc22	4
Rps18-ps3	8
Tecr	8
Gm16137	15
Zbtb8os	4
Gm16138	15
Pphln1	15
Exoc2	13
Pts	9
Gm6883	18
Gm50086	18
9130209A04Rik	18
D16Ertd519e	16
Gm50223	18
Gm19291	16
Gm5095	18
Gm49665	16
Gm29823	16
Gm5236	18
4931420L22Rik	16
Gm24968	16
Gm18918	16
Gm41720	18
Gm49666	16
Gm4146	18
4930567J20Rik	16
Micos13	17
Gm50224	18
Gm22797	16
Gm18549	16
Gm18550	16
G630055G22Rik	18
Gm49667	16
8030451O07Rik	16
Pars2	4
Eno1b	18
Rpl36	17
Btf3-ps14	1
Lca5l	16
Gm47077	9
Gm5237	18
Bco2	9
Egfl8	17
Catspere2	1
Gm12531	3
Myof	19
Zbtb8a	4
Setdb1	3
Gm5839	18
Gm18025	12
Gm50229	18
Gm47357	12
Gm18993	18
4921508M14Rik	12
Il18	9
Gm50231	18
Gm24429	12
Prps1l1	12
1700044K03Rik	18
Gm12980	4
Frmd6	12
Dtwd2	18
Mfn2	4
Robo1	16
Tex12	9
Prickle1	15
Cilk1	9
Gm16283	18
Gm46355	12
Gm10457	12
1700065O20Rik	18
Ccdc88c	12
Dmxl1	18
Gm20460	17
Gm37313	1
Gm25312	1
Lonp1	17
Gm8010	1
Cks2	13
Pax3	1
Zfp42-ps1	15
Gm41386	15
Hus1b	13
Gm30339	15
Gm22806	13
Gm49445	15
Gm5447	13
9430014N10Rik	15
Gm11371	13
Gm30564	15
Gm48662	13
Gm44068	6
Gm11372	13
Sox5os1	6
4930401O12Rik	13
Ncald	15
Gm11373	13
Sox5os2	6
D830024N08Rik	8
Sox5it	6
Gm45823	8
G630018N14Rik	13
Sox5os3	6
Gm18001	8
Sh3bgr	16
Sox5os4	6
Catsperd	17
Sox5os5	6
Gm22792	6
Gm22330	13
Gm11376	13
Gm23351	13
A530084C06Rik	13
Foxq1	13
Eno2	6
Gm11377	13
Mcf2l	8
Sdhd	9
1700018A04Rik	13
C920006O11Rik	9
Gm5171	10
Gm16135	10
Gm11378	13
Timm8b	9
Nln	13
1700113H08Rik	10
Gm2102	1
Gpc4	X
Acy1	9
Gm49670	16
Bivm	1
Hey2	10
Yeats2	16
Ranbp3	17
Gprasp2	X
Gm48862	10
Gm28221	15
Gm24168	10
4930555G07Rik	10
Gm15941	15
Gm30676	10
Tnfaip8	18
Gm8668	15
Gm23790	10
Gm7333	10
4930447A16Rik	15
Gm10764	10
Gm5422	10
Gm49397	15
Gm23191	10
Gm3267	15
Ascl1	10
Gm49311	15
Gm24833	15
Gm15942	15
Actr10	12
Gm15940	15
Foxf2	13
Gm48120	10
Rps19-ps5	15
Gm35019	15
Hddc2	10
Gm25186	13
Gm11379	13
Rrm2b	15
Sgpp2	1
Foxc1	13
Secisbp2	13
C030005K06Rik	18
Lrrc23	6
Gm28410	1
Gm42578	3
Gm37500	3
Gm37884	1
4930558C23Rik	3
Hsd17b4	18
Desi2	1
Gm5070	3
Gm9173	3
A630072L19Rik	12
Gm4349	3
Gm48865	10
Adad1	3
Vmac	17
Gm36756	12
Zbtb8b	4
Hnrnph3	10
Spsb2	6
Mir1190	12
Gm47639	12
Snx13	12
Ndufa11	17
Gm3362	15
Gm49085	15
Gm24621	4
Gm13156	4
Adamts20	15
Bsdc1	4
Fut4-ps1	17
Tpi1	6
Nrtn	17
Nfrkb	9
Dus3l	17
Gm8023	1
4930527J03Rik	1
Gm37486	1
B230369F24Rik	1
Gmds	13
Cox20	1
Gm12582	3
Gm15016	X
Gm12583	3
Gm12584	3
Arxes2	X
Il2	3
Ercc5	1
Emd	X
Prr22	17
Cd63-ps	18
Gm12532	3
Gm50439	18
Plod1	4
Gm8529	18
Gm48883	13
Rfx2	17
Gm52973	18
Gm11380	13
Fbxw7	3
Gm35732	13
Fam170a	18
Gm48885	13
A730091E23Rik	13
Pah	10
Sgtb	13
Pudp	18
Aldh1l1	6
Gm3815	18
Prr16	18
Gm10933	12
Gm48137	12
Mir680-3	12
Gm26071	12
Gm25739	18
Psma3	12
Arxes1	X
Gm25785	18
Gm4950	18
Gm50446	18
Tssk3	4
Gm50447	18
Gm14686	X
Gm50448	18
Bex2	X
Gm22259	18
Ftmt	18
Gsta4	9
Gm11381	13
Gm48073	13
Srfbp1	18
2510039O18Rik	4
Gm48195	10
Igf1os	10
Mylk4	13
Gpc3	X
Fam229a	4
Pbld2	10
Gm3126	9
Gsta1	9
Mettl21e	1
Nppb	4
Gm27026	18
Acsbg2	17
Lox	18
Dppa5b	9
Gm12979	4
Tmem45b	9
Gm15833	1
Marcksl1	4
Gm5700	1
D930007J09Rik	13
Gm28893	1
Nppa	4
Wrnip1	13
Txn-ps1	1
Gm14582	X
Mir6384	X
Mir717	X
A630012P03Rik	X
Farsb	1
Gm50151	19
Gm13054	4
Il21	3
Gm14964	19
Acsbg3	17
Gm8162	9
5033425B01Rik	9
Gm16143	10
Map3k15	X
I830134H01Rik	19
Gm3776	9
Ttc4	4
Dppa5c	9
B3galt5	16
Tpd52l1	10
4930434F21Rik	9
Slc22a12	19
Gm12534	3
Gm31408	9
Gm18226	9
Gm43822	3
Gm18820	9
Gm37726	3
Gm47436	9
Pus7l	15
Tnni3k	3
Gm8171	9
3110056K07Rik	12
Barx2	9
Gm10241	16
4930500H12Rik	16
Ahr	12
Sema4d	13
Gm41724	18
Nkapd1	9
Zfp474	18
Ppt2	17
Gm25699	16
Irak4	15
Gm18825	16
Gm49680	16
Cep55	19
Map6d1	16
1700034E13Rik	18
Mir363	X
Mir92-2	X
Gm15194	X
Gm18168	16
Gm8682	X
Gm49566	16
Mir19b-2	X
Mir20b	X
Mir18b	X
Mir106a	X
Kis2	X
Igsf5	16
Gm14586	X
Gykl1	18
Gm7851	X
Nxf3	X
Sncaip	18
Gm31497	9
Gm3756	9
Gm47465	9
Gsta5	9
Twf1	15
Gm48094	10
Supt4b	10
Gm28995	1
Gm48092	10
4833412K13Rik	1
Ccdc160	X
Gm48093	10
Gm48236	12
BC035947	1
Gm47687	10
Gm48237	12
Gm14607	X
Rnf217	10
Pou5f1-rs8	X
Gm34047	12
Gm44236	6
Tpi-rs4	9
5730412P04Rik	X
9130015A21Rik	12
Hdac1	4
Gm15756	6
Gm47481	9
Rgl1	1
Rps2-ps13	X
Gm47496	9
Gm48264	12
Bex4	X
Gm46317	12
Omt2a	9
Gm7002	12
Bcat1	6
Tmem117	15
Gm9472	12
Pdha1	X
Gm23300	19
Parl	16
Ppp4r3a	12
Gm47693	10
Ffar4	19
Gm7909	10
Gm8793	10
Rbp4	19
Nkain2	10
Gm25546	15
Gm23129	15
Abhd14a	9
Serpinb1a	13
Nell2	15
Gm38041	3
Gm38313	3
1700036G14Rik	3
Gm18589	3
Gm37890	3
Gm42813	3
Gm45790	3
Mroh7	4
Mir466k	3
Gm42812	3
Gm15535	3
Gm47704	10
Gm18189	10
Serpinb1-ps1	13
Gm15195	X
Gm15192	X
Gadd45g	13
A230081H15Rik	10
Fpgt	3
Gm15196	X
C030006N10Rik	10
Pde6c	19
Gm15193	X
Gm18704	10
Tceal8	X
Gm47700	10
Gm49948	16
Gm47702	10
Gm47823	10
Cyp2ab1	16
Gm26651	13
Gm37872	13
Gm48190	13
Igf1	10
Serpinb1c	13
Mir6383	X
Gm8074	9
Rpl10	X
Omt2b	9
Gm26456	3
Cetn4	3
Gm11382	13
4921525O09Rik	13
Itgb2l	16
Gm48199	13
Pih1d2	9
Diras2	13
1700129L04Rik	15
Fam151a	4
Serpinb6b	13
Gm24668	15
Agr3	12
Dbx2	15
Gm8843	15
Gm49169	15
Gm6961	15
Gm8849	15
A130051J06Rik	15
D130020L05Rik	12
Gm43439	3
Gm26666	6
Gm50457	18
Gm15687	6
Bbs12	3
Ubr5	15
Gm8572	18
Usp5	6
Snx2	18
Gm21056	12
Dlat	9
Lck	4
Gm12540	3
Snora70	X
Kif4-ps	12
Fgf2os	3
Tceal5	X
Gm18848	12
Gm43488	3
Agr2	12
Fgf2	3
Gm47662	13
Fra10ac1	19
Serpinb9	13
Bex1	X
Gm15479	1
Gm18795	12
Gm7278	1
Gm28792	1
Gsta2	9
Gm1859	18
Apobec4	1
Snx24	18
Tceal7	X
Lgi1	19
Mogat1	1
Mllt1	17
Mylf-ps	12
Gm32358	16
Gm22749	12
Gm42923	3
Pcp4	16
Tspan13	12
Tceal9	X
Gatb	3
Trappc13	13
Ppic	18
Cacna1f	X
Abcc5	16
Gm5434	12
Mir8119	4
Arid4a	12
Fam167b	4
Dppa5a	9
Prdm6	18
Acer1	17
Slc41a3	6
Eif3i	4
Tyms-ps	10
Ooep	9
Gm49887	17
Gm48306	10
Arpc5	1
Prrt1	17
Gm48307	10
Gm48308	10
Pmch	10
Gm8087	9
Abhd14b	9
Gm20461	17
Clpp	17
Pbld1	10
Fkbpl	17
5730419F03Rik	1
Gm29611	1
Alkbh7	17
Gulp1	1
Lrriq3	3
Clcn6	4
Gm50141	19
Pspn	17
Gm42723	19
Cdca3	6
Tcf4	18
Gtf2f1	17
Gm50150	19
Gm50155	19
Gm18936	19
Slc35g1	19
4930538L07Rik	14
Gm41148	14
Gm17949	17
Parpbp	10
4930542C12Rik	9
Gm49302	14
Gm20614	16
Gm28959	9
Gm35360	14
Gm20615	16
Atf6b	17
Ddx43	9
4930447J18Rik	14
Plce1	19
Dscam	16
Gm49303	14
Gm49304	14
Gm49305	14
Gm49306	14
Gm6055	14
Gm8093	9
Tomm20l	12
Glt8d1	14
Cgas	9
Gnb3	6
Catsperb	12
Gm37482	3
Gm5285	3
Scp2-ps1	3
Gm37449	3
Gm37324	3
Gm23038	3
Gm37102	3
Gm37515	3
9330178D15Rik	3
Gm17324	9
Gm42947	3
Gm6510	3
Arhgap32	9
Gm42886	3
Sh2d6	6
4930570G19Rik	3
Gm37626	1
Syk	13
Gm16102	1
4930521E06Rik	1
Gm38110	1
Fam160a1	3
Gm3489	1
Gm19480	1
Gm3496	1
Gm5268	1
Khsrp	17
Gm48072	10
Gm6653	10
Gm38063	10
Hnrnpu	1
4921515L22Rik	10
Gm49907	16
Gm32509	16
Atoh7	10
Gm32432	16
Eif2b5	16
Trdn	10
Cadps	14
Timm9	12
Dnajb1	8
Usp45	4
Nudt6	3
Gm15353	8
Gipc1	8
Shld3	13
Serpinb9b	13
Robo2	16
Gm22353	15
Gm15351	8
Gm49312	15
Gm35167	15
Slc25a41	17
Mir9768	8
Odf1	15
Gm15349	8
Bzw2	12
Gm15352	8
BB123696	13
Gm5213	15
Gm49313	15
Gm36099	13
Gm8705	15
Gm49314	15
Serpinb1b	13
Klf10	15
Gm47536	9
Glt28d2	3
Mto1	9
4933425M03Rik	3
Gm26204	3
Gm38030	3
Sorbs2	8
Gm11384	13
Gm17168	17
Gm11383	13
Gm9790	3
Serpinb9c	13
Gm27811	3
Slc25a23	17
Negr1	3
P3h3	6
Gm35248	15
Gm41307	15
G930009F23Rik	15
Ano6	15
Kcnj5	9
Gm42946	3
Gm47831	10
Gm39317	9
Serpinb9d	13
Gm42942	3
Gm47845	10
Gm42943	3
Kcnj1	9
Gm8717	19
Gm43528	3
D830005E20Rik	10
Gm28991	19
Gm15578	3
Gm38300	1
Noc3l	19
Gm15577	3
Gm19073	10
Gm43527	3
Gm24919	1
Gm43526	3
Gm11385	13
Gm47842	10
Efcab2	1
Gm47788	13
4930566N20Rik	3
Gm29884	10
Eef1a1	9
Crb3	17
Serpinb9e	13
Gm24373	3
Gm23725	3
Gm47844	10
Gm22458	3
Gm23379	3
Gm5983	3
Gm20304	10
4930592C13Rik	3
Nup37	10
Gm18115	12
Gm48369	12
Spata5	3
Ankmy2	12
Gm13207	4
Trim23	13
Acsl3	1
Acot11	4
Tbc1d12	19
Iqsec1	6
Gm26377	9
Fli1	9
Gm19046	12
Mypn	10
Tnxb	17
Tc2n	12
Hells	19
Gm47430	9
Gm22060	9
Gm49173	15
Gm38292	9
Gm17546	15
Gm38346	9
Gm27201	9
Gm37474	9
Gm49172	15
Gm37082	9
Gm47680	9
D030018L15Rik	15
Gm27163	9
Slc17a5	9
2610037D02Rik	15
4833422M21Rik	15
Serpinb9f	13
Azin1	15
Gm47908	10
Serpinb9h	13
Gm26357	10
1700120B22Rik	10
Phf6	X
Ppwd1	13
Gm16618	16
Gm43484	3
Gm12564	3
Gm22163	16
Gm12565	3
Gm49660	16
Clvs2	10
4930594O21Rik	3
Gm16285	12
Bace2	16
Lrrc72	12
Gm42922	3
Spry1	3
Cd109	9
Gm44123	6
Gm44105	6
Rpl21-ps12	6
Gm25185	6
Ppp1r2-ps2	6
Gpr162	6
Ncf2	1
Cast	13
Gm12745	4
Gm12746	4
Gm49659	16
Gm40392	12
Gm49658	16
Gm49681	16
Sostdc1	12
Mthfr	4
Gm43820	3
Gm18021	16
Mir691	16
Gm43414	3
Gm49671	16
Gm26307	16
Gm49674	16
Gm5148	3
Gm34215	12
Gm26937	16
A630036G19Rik	16
Gm25438	12
D630036H23Rik	12
Gm49676	16
Gm49678	16
Fbln5	12
Gm49677	16
Lrmp	6
Lipi	16
Gm47910	10
Gm47911	10
Cyp2c52-ps	19
Gm15939	10
Rps23-ps1	3
Rpl31-ps15	3
Gm47929	10
Gm48239	14
Gm42921	3
Mir6951	15
Gm48267	14
Sult3a2	10
Gm49077	15
Gm26404	3
Gm42752	3
2310043O21Rik	15
Gm17805	14
Gm42753	3
Gm18077	14
Gm29697	15
Gm48266	14
Gm49090	15
Gm5457	14
Siah1-ps2	15
Gm48515	14
Arid2	15
Gm48526	14
Arnt	3
Gm10327	10
Cyp2c55	19
Dvl3	16
Peli2	14
2700049A03Rik	12
Sult3a1	10
Gm24389	17
Cyp21a2-ps	17
Cyp2c65	19
Bex3	X
Chchd2-ps	4
Gm13201	4
Gm18187	5
Dennd1c	17
Agtrap	4
Shisa3	5
Gm47935	10
Gm47940	10
9530086P17Rik	14
Nkx6-1	5
Gm49310	14
Washc3	10
Gm5087	14
Ets1	9
Gm8706	5
Draxin	4
Gm42133	5
Gm43529	5
Cyp2c66	19
9430085M18Rik	5
Gm49307	14
Gm6486	5
Gm6498	14
Rbm11	16
Gm3053	5
Gm43530	5
1700128I11Rik	14
Gm8715	5
n-R5s12	X
Nsa2-ps2	X
Gm2420	5
Gm18962	14
Scaf11	15
Gm3534	14
Gm14997	X
Gm4917	X
Synpr	14
Btf3-ps3	X
Gm14994	X
Cyp2c53-ps	19
Kif26b	1
Gm14999	X
Gm30162	16
Hprt	X
Tmem234	4
Gm18985	5
Gm15772	5
Hspa13	16
Cyp2c29	19
Gm36548	5
Cds1	5
Gm14998	X
Gm14993	X
Mir450b	X
Mir450-1	X
Gm14992	X
Mir450-2	X
Mir542	X
Gm49888	17
Gm14996	X
Tubb4a	17
Gm14990	X
Gm28730	X
Gm19045	12
Gm41392	15
Gm11110	17
Mir351	X
Gm15913	14
Mir503	X
Mir322	X
Gm14995	X
Sntn	14
Slc38a1	15
Syp	X
Gm7959	12
Dact1	12
Gm43910	6
Gm15553	16
Rpl19-ps4	14
Cd4	6
Tnfsf9	17
Gm15554	16
Gm3637	14
Gm43273	5
Gm43272	5
Mx1	16
Gnl3	14
Pptc7	5
Cyp2c72-ps	19
Gm49892	17
Cd70	17
Cyp2c38	19
Gm24405	1
4921509A06Rik	9
Gm17980	10
Gm34176	1
Gm27240	9
Tnfsf14	17
Gm48476	10
Gm47497	9
Rsph4a	10
Gm3331	9
Gm37167	9
Gm46138	9
Gm8116	9
C4b	17
Gm27162	9
4930474H06Rik	12
Sgk3	1
Gm33016	12
Gm47498	9
Gm40438	12
Cyp2c39	19
Gm37192	9
Gm18863	9
1700083H02Rik	12
Gm35024	9
Gm14703	X
Gm27166	9
Dram1	10
Gm47499	9
Trip11	12
C430049B03Rik	X
Gm32171	9
Gm22045	15
Gm47501	9
Slc38a2	15
Gm37758	9
Gm15842	5
Gm28620	9
Gm47775	9
Cyp2c67	19
