mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome
Fgl1	8	FGL1	8
Hamp	7	HAMP	19
Lacc1	14	LACC1	13
Micu2	14	MICU2	13
Thumpd2	17	THUMPD2	2
Pisd	5	PISD	22
Prodh	16	PRODH	22
Gm24202	8	RNU6-1056P	X
Slc9c1	16	SLC9C1	3
Bckdhb	9	BCKDHB	6
Pias1	9	PIAS1	15
Tmem263	10	TMEM263	12
Chrnb4	9	CHRNB4	15
Pdcd2	17	PDCD2	6
Snapc1	12	SNAPC1	14
Rps6kb1	11	RPS6KB1	17
Armc6	8	ARMC6	19
Commd10	18	COMMD10	5
Adam33	2	ADAM33	20
1700013H16Rik	X	SYCP3	12
Faap100	11	FAAP100	17
Havcr1	11	HAVCR1	5
Rpe	1	RPEL1	10
Rpe	1	RPE	2
Errfi1	4	ERRFI1	1
Cpe	8	CPE	4
Klhdc4	8	KLHDC4	16
Grm8	6	GRM8	7
Nrg1	8	NRG1	8
Snai3	8	SNAI3	16
Sntb1	15	SNTB1	8
Jmjd7	2	JMJD7	15
Copz2	11	COPZ2	17
Tom1l1	11	TOM1L1	17
Dpep2	8	DPEP2	16
Mrgpra2b	7	MRGPRX4	11
Cyp4f14	17	CYP4F2	19
Tmem30a	9	TMEM30A	6
Trim72	7	TRIM72	16
Lrrtm2	18	LRRTM2	5
	12	RNU6-84P	6
C1qtnf12	4	C1QTNF12	1
Mtmr2	9	MTMR2	11
H2ac6	13	H2AC4	6
Rabgef1	5	RABGEF1	7
Trbv13-2	6	TRBV10-1	7
Trbv13-2	6	TRBV10-2	7
Trbv13-2	6	TRBV10-3	7
Dnai1	4	DNAI1	9
Aco1	4	ACO1	9
Gdpd5	7	GDPD5	11
Gm10230	X	SYCP3	12
Pramel44	5	PRAMEF18	1
Pramel44	5	PRAMEF2	1
Pramel44	5	PRAMEF4	1
Pramel44	5	PRAMEF13	1
Pramel44	5	PRAMEF10	1
Pramel44	5	PRAMEF11	1
Pramel44	5	PRAMEF1	1
Pramel44	5	PRAMEF6	1
Pramel44	5	PRAMEF5	1
Pramel44	5	PRAMEF33	1
Pramel44	5	PRAMEF7	1
Pramel44	5	PRAMEF8	1
Kmt2a	9		11
Slc26a3	12	SLC26A3	7
Fbp2	13	FBP2	9
Nyx	X	NYX	X
Txlnb	10	TXLNB	6
Zfp366	13	ZNF366	5
Efl1	7	EFL1	15
Ubr1	2	UBR1	15
Trim5	7		11
Fbxo6	4	FBXO6	1
Trav10	14	TRAV13-1	14
Trav10	14	TRAV13-2	14
Gm24313	11	SNORA5A	7
Uba3	6	UBA3	3
Ppp1r37	7	PPP1R37	19
	GL456354.1	PRAMEF18	1
	GL456354.1	PRAMEF2	1
	GL456354.1	PRAMEF4	1
	GL456354.1	PRAMEF13	1
	GL456354.1	PRAMEF10	1
	GL456354.1	PRAMEF11	1
	GL456354.1	PRAMEF1	1
	GL456354.1	PRAMEF6	1
	GL456354.1	PRAMEF5	1
	GL456354.1	PRAMEF33	1
	GL456354.1	PRAMEF7	1
	GL456354.1	PRAMEF8	1
Fam214b	4	FAM214B	9
Spata16	3	SPATA16	3
Efcab8	2	EFCAB8	20
Plac8l1	18	PLAC8L1	5
Rbmx2	X	RBMX2	X
Rtl8a	X	RTL8C	X
Gdf7	12	GDF7	2
Gm10486	X	SYCP3	12
Olfr177	16	OR5K3	3
Tmem223	19	TMEM223	11
Serpinb9e	13	SERPINB9	6
Trp53rkb	2	TP53RK	20
Tmem259	10	TMEM259	19
Gm21739	Y	SYCP3	12
Tcf21	10	TCF21	6
	7	RN7SKP233	16
Necab1	4	NECAB1	8
Ighv15-2	12	IGHV1-45	14
Ighv15-2	12	IGHV1-46	14
Ighv15-2	12	IGHV1-58	14
Ighv15-2	12	IGHV1-3	14
Ighv15-2	12	IGHV1-69	14
Ighv15-2	12	IGHV1-69-2	14
Ighv15-2	12	IGHV1-69D	14
Ces1b	8	CES1	16
Calcoco1	15	CALCOCO1	12
Ttc33	15	TTC33	5
Kcnc1	7	KCNC1	11
	14	RNU1-91P	11
Pip5kl1	2	PIP5KL1	9
Trappc6b	12	TRAPPC6B	14
Adtrp	13	ADTRP	6
Lmntd2	7	LMNTD2	11
Uggt2	14	UGGT2	13
Gm24863	13	RNU6-34P	4
Snx32	19	SNX32	11
Brms1l	12	BRMS1L	14
Pabpn1l	8	PABPN1L	16
Scgb1c1	7	SCGB1C2	17
Scgb1c1	7	SCGB1C1	11
Ccdc27	4	CCDC27	1
Chchd7	4	CHCHD7	8
Rab3c	13	RAB3C	5
Lztr1	16	LZTR1	22
2610528J11Rik	4	C1orf210	1
Tti2	8	TTI2	8
Ndrg2	14	NDRG2	14
Rps6ka4	19	RPS6KA4	11
Kif26a	12	KIF26A	14
Nsg2	11	NSG2	5
Gm26403	18	RNU6-758P	16
Mars1	10	MARS1	12
Fgfr3	5	FGFR3	4
Phlda2	7	PHLDA2	11
Gm20825	Y	SPIN2A	X
Kirrel3	9	KIRREL3	11
Scrg1	8	SCRG1	4
Psmb2	4	PSMB2	1
Tagln3	16	TAGLN3	3
Fem1c	18	FEM1C	5
Chrna3	9	CHRNA3	15
Eno4	19	ENO4	10
Lcmt1	7	LCMT1	16
Megf9	4	MEGF9	9
Il1a	2	IL1A	2
Marchf9	10	MARCHF9	12
Phactr4	4	PHACTR4	1
Ptprk	10	PTPRK	6
Dnaaf6	1	DNAAF6	X
Mir598	14	MIR598	8
Cep126	9	CEP126	11
Mia	7	MIA-RAB4B	19
Mia	7	MIA	19
Slc43a1	2	SLC43A1	11
Nutf2-ps1	19	NUTF2	16
Prox2	12	PROX2	14
Nudt4	10	NUDT4	12
Fbll1	11	FBLL1	5
Car9	4	CA9	9
Ncbp2	16	NCBP2L	X
Inpp5k	11	INPP5K	17
Gal3st2b	1	GAL3ST2	2
Crhbp	13	CRHBP	5
Gm26314	X	RNU6-84P	6
Cep170b	12	CEP170B	14
Mrpl46	7	MRPL46	15
Tasor2	13	TASOR2	10
Brd2	17	BRD2	6
Zswim9	7	ZSWIM9	19
Gxylt2	6	GXYLT2	3
Ptgfr	3	PTGFR	1
Cd200r3	16	CD200R1	3
Unc5c	3	UNC5C	4
Pramel4	4	PRAMEF18	1
Pramel4	4	PRAMEF2	1
Pramel4	4	PRAMEF4	1
Pramel4	4	PRAMEF13	1
Pramel4	4	PRAMEF10	1
Pramel4	4	PRAMEF11	1
Pramel4	4	PRAMEF1	1
Pramel4	4	PRAMEF6	1
Pramel4	4	PRAMEF5	1
Pramel4	4	PRAMEF33	1
Pramel4	4	PRAMEF7	1
Pramel4	4	PRAMEF8	1
Polm	11	POLM	7
Mbnl2	14	MBNL2	13
Adad1	3	ADAD1	4
Trav9d-3	14	TRAV8-1	14
Trav9d-3	14	TRAV8-3	14
Egln2	7	EGLN2	19
Batf	12	BATF	14
Usp30	5	USP30	12
Gm25514	2	RNU1-82P	7
Btbd2	10	BTBD2	19
Zyg11a	4	ZYG11A	1
Amdhd2	17		16
	15	RN7SKP151	11
	15	RN7SKP113	4
	15	RN7SKP167	10
Tjp2	19		9
Tjp2	19	TJP2	9
Gsto2	19	GSTO2	10
Epha2	4	EPHA2	1
Tmbim6	15	TMBIM6	12
Ube4a	9	UBE4A	11
Rcbtb1	14	RCBTB1	13
Hspa14	2	HSPA14	10
Zfp872	9	ZNF627	19
Pomk	8	POMK	8
Rabac1	7	RABAC1	19
Dgka	10	DGKA	12
Mtor	4	MTOR	1
Insig1	5	INSIG1	7
Cldn34b4	X	CLDN34	X
Gnb2	5	GNB2	7
Slc29a2	19	SLC29A2	11
Prss48	3	PRSS48	4
Zfp57	17	ZFP57	6
Kcnip2	19	KCNIP2	10
Acap3	4	ACAP3	1
Adgrg5	8	ADGRG5	16
Kctd13	7	KCTD13	16
Mrgprg	7	MRGPRG	11
St3gal2	8	ST3GAL2	16
Gm21366	Y	SYCP3	12
Ibsp	5	IBSP	4
Snora21	11	SNORA21	17
Ripk1	13	RIPK1	6
Lamtor1	7	LAMTOR1	11
Zscan2	7	ZSCAN2	15
Mob1b	5	MOB1B	4
Stxbp1	2	STXBP1	9
Mex3b	7	MEX3B	15
Ncoa4	14	NCOA4	10
Gm20838	Y	SYCP3	12
Slc25a51	4	SLC25A51	9
Ap4m1	5	AP4M1	7
D630045J12Rik	6	KIAA1549	7
Gm28961	Y	SYCP3	12
Rbpms2	9	RBPMS2	15
Strbp	2	STRBP	9
Kdm4a	4	KDM4A	1
Tle4	19	TLE4	9
Chchd6	6	CHCHD6	3
Spock1	13	SPOCK1	5
Spdya	17	SPDYA	2
Zfy1	Y	ZNF837	19
Zfy1	Y		19
Zfy1	Y	ZNF584	19
Zfy1	Y	ZNF586	19
Zfy1	Y	ZNF480	19
Zfy1	Y	ZNF610	19
Zfy1	Y	ZNF548	19
Zfy1	Y	ZNF561	19
Zfy1	Y	ZNF562	19
Zfy1	Y	ZNF552	19
Zfy1	Y	ZNF587B	19
Zfy1	Y	ZNF256	19
Lpxn	19	LPXN	11
Slc36a1	11	SLC36A1	5
Trav7-5	14	TRAV12-1	14
Trav7-5	14	TRAV12-2	14
Trav7-5	14	TRAV12-3	14
Klhl32	4	KLHL32	6
Hs3st6	17	HS3ST6	16
Gm23298	12	RNU6-1111P	15
Oip5	2	OIP5	15
Vash1	12	VASH1	14
Tbc1d7	13	TBC1D7	6
Vwa7	17	VWA7	6
Hnrnpll	17	HNRNPLL	2
Serpinb6b	13	SERPINB6	6
Spryd7	14	SPRYD7	13
Wfikkn2	11	WFIKKN2	17
Ly6g6e	17		6
Cyb5d1	11	CYB5D1	17
Osbpl8	10	OSBPL8	12
Trp53	11	TP53	17
Adam23	1	ADAM23	2
Nup62cl	X	NUP62CL	X
Atp6v0c	17	ATP6V0C	16
Stk32a	18	STK32A	5
Col20a1	2	COL20A1	20
Lrtm2	6	LRTM2	12
Eif4a3l1	6	EIF4A3	17
Gzmb	14	GZMB	14
Gm22953	2	MIR1282	15
Rrn3	16	RRN3	16
Gm21409	Y	SYCP3	12
R3hcc1	14	R3HCC1	8
Gm22603	11	SNORA70C	9
Gm22603	11		12
Gm22603	11	SNORA70G	12
Gm22603	11		8
Gm22603	11		17
Gm22603	11		19
Gm22603	11	SNORA70E	11
Eno2	6	ENO2	12
Slc38a5	X	SLC38A5	X
Chd2	7		15
Chd2	7	CHD2	15
Atp2b3	X	ATP2B3	X
Gm7982	5	PRAMEF18	1
Gm7982	5	PRAMEF2	1
Gm7982	5	PRAMEF4	1
Gm7982	5	PRAMEF13	1
Gm7982	5	PRAMEF10	1
Gm7982	5	PRAMEF11	1
Gm7982	5	PRAMEF1	1
Gm7982	5	PRAMEF6	1
Gm7982	5	PRAMEF5	1
Gm7982	5	PRAMEF33	1
Gm7982	5	PRAMEF7	1
Gm7982	5	PRAMEF8	1
Cyp4a30b	4	CYP4F12	19
Ubr2	17	UBR2	6
Trav15n-2	14	TRDV1	14
	6	RN7SKP143	10
Fbxo2	4	FBXO2	1
Exosc4	15	EXOSC4	8
Lsm11	11	LSM11	5
Gm13697	2	CWC22	2
Fxyd6	9	FXYD6	11
Atad1	19	ATAD1	10
Pramel26	4	PRAMEF18	1
Pramel26	4	PRAMEF2	1
Pramel26	4	PRAMEF4	1
Pramel26	4	PRAMEF13	1
Pramel26	4	PRAMEF10	1
Pramel26	4	PRAMEF11	1
Pramel26	4	PRAMEF1	1
Pramel26	4	PRAMEF6	1
Pramel26	4	PRAMEF5	1
Pramel26	4	PRAMEF33	1
Pramel26	4	PRAMEF7	1
Pramel26	4	PRAMEF8	1
Pgm2l1	7	PGM2L1	11
Slc12a9	5	SLC12A9	7
Gse1	8	GSE1	16
Gna11	10	GNA11	19
Cdhr3	12	CDHR3	7
Srp54a	12	SRP54	14
Gm23972	13	RNU1-101P	8
Acpp	9	ACP3	3
Cyp4f15	17	CYP4F2	19
Apom	17	APOM	6
Hivep2	10	HIVEP2	6
Wdr27	17	WDR27	6
Padi6	4	PADI6	1
Coro1b	19	CORO1B	11
Efr3b	12	EFR3B	2
Naaa	5	NAAA	4
Slc38a9	13	SLC38A9	5
Ighv1-42	12	IGHV1-45	14
Ighv1-42	12	IGHV1-46	14
Ighv1-42	12	IGHV1-58	14
Ighv1-42	12	IGHV1-3	14
Ighv1-42	12	IGHV1-69	14
Ighv1-42	12	IGHV1-69-2	14
Ighv1-42	12	IGHV1-69D	14
Dpp7	2	DPP7	9
Xylb	9	XYLB	3
Ilvbl	10	ILVBL	19
Nprl2	9	NPRL2	3
Sis	3	SI	3
Cd2bp2	7	CD2BP2	16
AI661453	17	C6orf132	6
Nfe2l1	11	NFE2L1	17
Cmklr1	5	CMKLR1	12
Obp2a	2	OBP2A	9
Obp2a	2	OBP2B	9
Tek	4	TEK	9
Chrna2	14	CHRNA2	8
Rasgrf2	13	RASGRF2	5
Tmco3	8	TMCO3	13
Sec24c	14	SEC24C	10
Szrd1	4	SZRD1	1
Fahd2a	2	FAHD2A	2
Spock3	8	SPOCK3	4
Sptbn5	2	SPTBN5	15
Ctcf	8	CTCF	16
Gm25634	1	RNU6-729P	8
Gm25634	1	RNU6-993P	19
Tapt1	5	TAPT1	4
Hrh3	2	HRH3	20
Ighv8-4	12	IGHV2OR16-5	16
Ighv8-4	12	IGHV2-5	14
Ighv8-4	12	IGHV2-70D	14
Ighv8-4	12	IGHV2-70	14
Fbxw7	3	FBXW7	4
Il17d	14	IL17D	13
Zranb3	1	ZRANB3	2
Sec16a	2	SEC16A	9
Zup1	10	ZUP1	6
Ighv6-6	12	IGHV3-72	14
Ighv6-6	12	IGHV3-73	14
Tbx3	5	TBX3	12
Asb2	12	ASB2	14
Sdc2	15	SDC2	8
Lipn	19	LIPN	10
Actl7b	4	ACTL7B	9
Nsd2	5	NSD2	4
Slf2	19	SLF2	10
Gja4	4	GJA4	1
Ighv14-2	12	IGHV1-45	14
Ighv14-2	12	IGHV1-46	14
Ighv14-2	12	IGHV1-58	14
Ighv14-2	12	IGHV1-3	14
Ighv14-2	12	IGHV1-69	14
Ighv14-2	12	IGHV1-69-2	14
Ighv14-2	12	IGHV1-69D	14
Glud1	14	GLUD1	10
Rab36	10	RAB36	22
Capn1	19	CAPN1	11
Rbm7	9		11
Rbm7	9	RBM7	11
Fsd1l	4	FSD1L	9
	4	SNORA17A	9
Acot13	13	ACOT13	6
Chpt1	10	CHPT1	12
Tymp	15	TYMP	22
Mesp2	7	MESP2	15
Gm21760	Y	SYCP3	12
Abo	2	ABO	9
1110017D15Rik	4	C9orf24	9
Snord116l16	7	SNORD116-5	15
Snord116l16	7	SNORD116-1	15
Snord116l16	7	SNORD116-3	15
Ppif	14	PPIF	10
Gm20909	Y	SPIN2A	X
Sgcb	5	SGCB	4
Il4i1	7	IL4I1	19
	7	SNORA67	17
Ak1	2	AK1	9
Slxl1	X	SYCP3	12
Calcrl	2	CALCRL	2
Wac	18	WAC	10
Tjp3	10	TJP3	19
Pecr	1	PECR	2
Theg	10	THEG	19
Fam205a1	4	FAM205A	9
Hadh	3	HADH	4
Pira13	7	LILRB4	19
Zbtb39	10	ZBTB39	12
Sat2	11	SAT2	17
Spns1	7	SPNS1	16
Gabre	X	GABRE	X
Pkmyt1	17	PKMYT1	16
Gm24336	19	SNORA12	10
Rnf43	11		17
Ccdc122	14	CCDC122	13
Rab11fip3	17	RAB11FIP3	16
Mgarp	3	MGARP	4
Atad5	11	ATAD5	17
Tctn3	19	TCTN3	10
Slc28a2	2	SLC28A2	15
Igbp1	X	IGBP1P2	17
Ino80d	1	INO80D	2
Gm13539	2		9
Tmem87b	2	TMEM87B	2
Klf12	14	KLF12	13
Serpina9	12	SERPINA9	14
Kcnma1	14	KCNMA1	10
B3gnt4	5	B3GNT4	12
Cenpa	5	CENPA	2
Scaper	9	SCAPER	15
Gm23210	16	RNU6-1106P	6
Cd164l2	4	CD164L2	1
Fermt3	19	FERMT3	11
Gm24437	16	RNU6-194P	6
Snora43	2	SNORA17B	9
Phtf2	5	PHTF2	7
Tspoap1	11	TSPOAP1	17
Tas2r139	6	TAS2R39	7
Rasa1	13	RASA1	5
Snrpb	2	SNRPB	20
Susd5	9	SUSD5	3
Sf3b5	10	SF3B5	6
Gm23090	4	SNORD121A	9
Gpx7	4	GPX7	1
Xpo4	14	XPO4	13
Fbxo5	10	FBXO5	6
Atg14	14	ATG14	14
Gm20509	9	KHDC3L	6
Usp50	2	USP50	15
Perp	10	PERP	6
Ddx17	15	DDX17	22
Khdc3	9	KHDC3L	6
Ypel5	17	YPEL5	2
Ptger4	15	PTGER4	5
Aff4	11	AFF4	5
Gpr34	X	GPR34	X
Atmin	8	ATMIN	16
Sowahb	5	SOWAHB	4
Gzmc	14	GZMB	14
2310034G01Rik	19	C10orf95	10
Dnah7a	1	DNAH7	2
Nfe2l3	6	NFE2L3	7
Adamtsl3	7	ADAMTSL3	15
Ifit1	19	IFIT1B	10
Srd5a2	17	SRD5A2	2
Mllt10	2	MLLT10	10
Cdh6	15	CDH6	5
Olfr582	7	OR52R1	11
A830018L16Rik	1	C8orf34	8
Tacr1	6	TACR1	2
Pcsk1n	X	PCSK1N	X
Tcaf1	6	TCAF1	7
Gm22423	11	RNU2-50P	9
Ifnl2	7	IFNL2	19
Pramel30	4	PRAMEF18	1
Pramel30	4	PRAMEF2	1
Pramel30	4	PRAMEF4	1
Pramel30	4	PRAMEF13	1
Pramel30	4	PRAMEF10	1
Pramel30	4	PRAMEF11	1
Pramel30	4	PRAMEF1	1
Pramel30	4	PRAMEF6	1
Pramel30	4	PRAMEF5	1
Pramel30	4	PRAMEF33	1
Pramel30	4	PRAMEF7	1
Pramel30	4	PRAMEF8	1
Rdh11	12		14
Rdh11	12	RDH11	14
Neurl1b	17	NEURL1B	5
Neu1	17	NEU1	6
Grhl2	15	GRHL2	8
Unc5a	13	UNC5A	5
Bcl11a	11	BCL11A	2
Gnl3	14	GNL3	3
Fzd6	15	FZD6	8
Wdfy1	1	WDFY1	2
Il6st	13	IL6ST	5
Bcar1	8	BCAR1	16
Ptprr	10	PTPRR	12
Mrps9	1	MRPS9	2
Trav12d-2	14	TRAV18	14
Ube2r2	4	UBE2R2	9
Tmem104	11	TMEM104	17
Tbc1d5	17	TBC1D5	3
Ccdc81	7	CCDC81	11
Gm5136	10	BRCC3	X
H2-M10.3	17	HLA-E	6
Bphl	13	BPHL	6
Snrnp200	2	SNRNP200	2
Gm23483	16	RNU6-194P	6
Snx10	6	SNX10	7
Olfr1258	2	OR4C46	11
Pdzd7	19	PDZD7	10
Cnot6	11	CNOT6	5
Dclre1a	19	DCLRE1A	10
Ighv7-3	12	IGHV3-72	14
Ighv7-3	12	IGHV3-73	14
Gm20831	Y	SPIN2A	X
Ifitm10	7	IFITM10	11
Ccl19	4	CCL19	9
Plekhh1	12	PLEKHH1	14
2700049A03Rik	12	KIAA0586	14
Slc48a1	15	SLC48A1	12
Slc9a1	4	SLC9A1	1
H2-T24	17	HLA-E	6
Ehd2	7	EHD2	19
Ubqlnl	7	UBQLNL	11
Ppfia1	7	PPFIA1	11
Atp6v1f	6	ATP6V1F	7
Coro7	16	CORO7-PAM16	16
Coro7	16	CORO7	16
Msx2	13	MSX2	5
Wrnip1	13	WRNIP1	6
Zfp263	16	ZNF263	16
Dmrta2	4	DMRTA2	1
Clec2l	6	CLEC2L	7
Dock6	9	DOCK6	19
Cacnb4	2		2
Zdhhc24	19	ZDHHC24	11
Mir130a	2	MIR130A	11
Phrf1	7	PHRF1	11
Gm12695	4	C1orf87	1
Cnrip1	11	CNRIP1	2
Gm20924	Y	SPIN2A	X
Cdca7	2	CDCA7	2
Hoxb4	11	HOXB4	17
Qser1	2	QSER1	11
Dglucy	12	DGLUCY	14
Irgc1	7	IRGC	19
Mal	2	MAL	2
Oit3	10	OIT3	10
Sorcs2	5	SORCS2	4
Ndufa5	6	NDUFA5	7
Abca1	4	ABCA1	9
Luc7l3	11	LUC7L3	17
Abcd3	3	ABCD3	1
Olfr589	7	OR52E2	11
Tead1	7	TEAD1	11
Sfrp1	8	SFRP1	8
Gm21310	Y	SPIN2A	X
Gbgt1	2	GBGT1	9
Trav6n-7	14	TRAV9-2	14
Vps13c	9	VPS13C	15
Oplah	15	OPLAH	8
Ank	15	ANKH	5
Oog4	4	PRAMEF18	1
Oog4	4	PRAMEF2	1
Oog4	4	PRAMEF4	1
Oog4	4	PRAMEF13	1
Oog4	4	PRAMEF10	1
Oog4	4	PRAMEF11	1
Oog4	4	PRAMEF1	1
Oog4	4	PRAMEF6	1
Oog4	4	PRAMEF5	1
Oog4	4	PRAMEF33	1
Oog4	4	PRAMEF7	1
Oog4	4	PRAMEF8	1
Sdr9c7	10	SDR9C7	12
Mbd6	10	MBD6	12
St13	15	ST13	22
Bmp2k	5	BMP2K	4
Myo1g	11	MYO1G	7
Yeats4	10	YEATS4	12
Gm23509	14	RNU1-88P	6
Pdcd2l	7	PDCD2L	19
Pdcd2l	7		19
Sorl1	9	SORL1	11
	GL456211.1	SP100	2
Ighv3-6	12	IGHV4-39	14
Ighv3-6	12	IGHV4-59	14
Ighv3-6	12	IGHV4-4	14
Ighv3-6	12	IGHV4-61	14
Atg10	13	ATG10	5
Gm26441	X	RNU6-407P	20
Ptpn6	6	PTPN6	12
Enho	4	ENHO	9
Gosr2	11	GOSR2	17
Gosr2	11		17
Egr4	6	EGR4	2
Gm24950	11	RNU2-1	17
Gm24950	11		17
Magi2	5	MAGI2	7
Rpl7l1	17	RPL7L1	6
Atoh8	6	ATOH8	2
Prickle2	6	PRICKLE2	3
Spink5	18	SPINK5	5
Ifnab	4	IFNA5	9
Ifnab	4	IFNA21	9
Ramac	7	RAMACL	6
Ramac	7	RAMAC	15
Fuca2	10	FUCA2	6
Snap25	2	SNAP25	20
Il21r	7	IL21R	16
Strn4	7	STRN4	19
Gm20911	Y	SYCP3	12
Rps5	7	RPS5	19
Vrk3	7	VRK3	19
Clgn	8	CLGN	4
Zfp874a	13	ZNF195	11
Ykt6	11	YKT6	7
Scaf8	17	SCAF8	6
Gtsf1	15	GTSF1	12
Cct2	10	CCT2	12
Olfr1034	2		11
Olfr1034	2	OR5M9	11
Eya3	4	EYA3	1
Trbv20	6	TRBV20-1	7
Trbv20	6	TRBV20OR9-2	9
Gtf3c5	2	GTF3C5	9
Tob1	11	TOB1	17
Nfia	4	NFIA	1
Ccdc160	X	CCDC160	X
Erich2	2	ERICH2	2
Iqca1l	5	IQCA1L	7
	X	RN7SKP82	4
H2-DMa	17	HLA-DMA	6
Zfp28	7	ZFP28	19
Dnajc6	4	DNAJC6	1
Opn1mw	X	OPN1MW2	X
Tceal3	X	TCEAL6	X
Gm24317	4	RNU6-1074P	4
Gm24449	12	RNU6-212P	15
Sgo1	17	SGO1	3
Gm23446	7	SNORD116-5	15
Gm23446	7	SNORD116-1	15
Gm23446	7	SNORD116-3	15
Snord111	8	SNORD111	16
Med6	12	MED6	14
Calu	6	CALU	7
Naaladl2	3	NAALADL2	3
Vps37d	5	VPS37D	7
Slc32a1	2	SLC32A1	20
Ctnnal1	4	CTNNAL1	9
Hmox2	16	HMOX2	16
Klk1b11	7	KLK2	19
Klk1b11	7	KLK1	19
Pramel36	5	PRAMEF18	1
Pramel36	5	PRAMEF2	1
Pramel36	5	PRAMEF4	1
Pramel36	5	PRAMEF13	1
Pramel36	5	PRAMEF10	1
Pramel36	5	PRAMEF11	1
Pramel36	5	PRAMEF1	1
Pramel36	5	PRAMEF6	1
Pramel36	5	PRAMEF5	1
Pramel36	5	PRAMEF33	1
Pramel36	5	PRAMEF7	1
Pramel36	5	PRAMEF8	1
Sult2a3	7	SULT2A1	19
Dtnbp1	13	DTNBP1	6
Magea13	X	MAGEB4	X
Magea13	X	MAGEA4	X
Magea13	X	MAGEA2B	X
Magea13	X	MAGEA12	X
Magea13	X	MAGEA2	X
Ppp1r3a	6	PPP1R3A	7
Pop5	5	POP5	12
Ocel1	8	OCEL1	19
Gm20736	Y	SYCP3	12
Pde8a	7	PDE8A	15
Nfkbia	12	NFKBIA	14
Yae1d1	13	YAE1	7
Pals1	12	PALS1	14
Nuggc	14	NUGGC	8
Tmem161a	8	TMEM161A	19
Pramel31	4	PRAMEF18	1
Pramel31	4	PRAMEF2	1
Pramel31	4	PRAMEF4	1
Pramel31	4	PRAMEF13	1
Pramel31	4	PRAMEF10	1
Pramel31	4	PRAMEF11	1
Pramel31	4	PRAMEF1	1
Pramel31	4	PRAMEF6	1
Pramel31	4	PRAMEF5	1
Pramel31	4	PRAMEF33	1
Pramel31	4	PRAMEF7	1
Pramel31	4	PRAMEF8	1
Iah1	12	IAH1	2
Gm25321	8	RNU6-611P	19
Sohlh1	2	SOHLH1	9
Adamts13	2	ADAMTS13	9
Gm24203	4		12
Slc22a17	14	SLC22A17	14
Selenos	7	SELENOS	15
Nin	12	NIN	14
Cnksr3	10	CNKSR3	6
Fkbpl	17	FKBPL	6
Fam241a	3	FAM241A	4
Arl4c	1	ARL4C	2
Srpr	9	SRPRA	11
F13a1	13	F13A1	6
Pate1	9	PATE1	11
Fibcd1	2	FIBCD1	9
Msrb3	10	MSRB3	12
	7	RN7SKP294	8
Ighmbp2	19	IGHMBP2	11
Ces1d	8	CES1	16
Fbh1	2	FBH1	10
Fstl1	16	FSTL1	3
Hlf	11	HLF	17
Tal2	4	TAL2	9
Trav6d-3	14	TRAV9-2	14
Mir30b	15	MIR30B	8
Zbtb10	3	ZBTB10	8
Mmel1	4	MMEL1	1
Trim38	13	TRIM38	6
Gm25588	1		7
Spsb3	17	SPSB3	16
Mgrn1	16	MGRN1	16
Pfpl	19	MPEG1	11
Rtn4ip1	10	RTN4IP1	6
Nsmaf	4	NSMAF	8
H2bw2	X	H2BW1	X
H2bw2	X	H2BW2	X
Trav7n-6	14	TRAV12-1	14
Trav7n-6	14	TRAV12-2	14
Trav7n-6	14	TRAV12-3	14
Tmem130	5	TMEM130	7
Cep112	11	CEP112	17
Pars2	4	PARS2	1
	JH584298.1	PRAMEF18	1
	JH584298.1	PRAMEF2	1
	JH584298.1	PRAMEF4	1
	JH584298.1	PRAMEF13	1
	JH584298.1	PRAMEF10	1
	JH584298.1	PRAMEF11	1
	JH584298.1	PRAMEF1	1
	JH584298.1	PRAMEF6	1
	JH584298.1	PRAMEF5	1
	JH584298.1	PRAMEF33	1
	JH584298.1	PRAMEF7	1
	JH584298.1	PRAMEF8	1
Pramel39	5	PRAMEF18	1
Pramel39	5	PRAMEF2	1
Pramel39	5	PRAMEF4	1
Pramel39	5	PRAMEF13	1
Pramel39	5	PRAMEF10	1
Pramel39	5	PRAMEF11	1
Pramel39	5	PRAMEF1	1
Pramel39	5	PRAMEF6	1
Pramel39	5	PRAMEF5	1
Pramel39	5	PRAMEF33	1
Pramel39	5	PRAMEF7	1
Pramel39	5	PRAMEF8	1
Pip4p1	14	PIP4P1	14
Ighv14-1	12	IGHV1-45	14
Ighv14-1	12	IGHV1-46	14
Ighv14-1	12	IGHV1-58	14
Ighv14-1	12	IGHV1-3	14
Ighv14-1	12	IGHV1-69	14
Ighv14-1	12	IGHV1-69-2	14
Ighv14-1	12	IGHV1-69D	14
Lratd1	12	LRATD1	2
Fbxo16	14	FBXO16	8
Alpk1	3	ALPK1	4
Impg1	9	IMPG1	6
Vps13d	4	VPS13D	1
Arrdc4	7	ARRDC4	15
Mreg	1	MREG	2
Rnu6-ps2	4	RNU6-295P	8
Pira2	7	LILRB4	19
Gm26099	X	RNU6-998P	4
Gzmn	14	GZMB	14
Mycbp2	14	MYCBP2	13
Fut7	2	FUT7	9
Spata31	13	SPATA31A1	9
Spata31	13	SPATA31A5	9
Spata31	13	SPATA31A3	9
Spata31	13	SPATA31E1	9
Spata31	13	SPATA31C2	9
Pou5f1	17	POU5F1B	8
