mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome
Gm22542	17	RNU6-987P	6
Mta1	12	MTA1	14
Cpa4	6	CPA4	7
Snord116l11	7	SNORD116-5	15
Snord116l11	7	SNORD116-1	15
Snord116l11	7	SNORD116-3	15
Gm20807	Y	SPIN2A	X
Rapgef3	15	RAPGEF3	12
Mindy4b-ps	3	MINDY4B	3
Cst6	19	CST6	11
Gabre	X	GABRE	X
Bsnd	4	BSND	1
Mageb4	X	MAGEB2	X
Dpm2	2	DPM2	9
Cox8a	19	COX8A	11
Cenpi	X	CENPI	X
Cd300ld	11	CD300LF	17
Olfr404-ps1	11	OR1P1	17
Armc12	17	ARMC12	6
Snora5c	11	SNORA5C	7
Cox6a2	7	COX6A2	16
Gm10542	18	SPINK9	5
Ptcd2	13	PTCD2	5
Gm23627	8	RNU6-95P	4
Chst8	7	CHST8	19
Spn	7	SPN	16
Rrh	3	RRH	4
Ache	5	ACHE	7
Cyp4f39	17	CYP4F22	19
Inpp5b	4	INPP5B	1
Phf19	2	PHF19	9
Gm8909	17	HLA-E	6
Ighv3-5	12	IGHV4-39	14
Ighv3-5	12	IGHV4-59	14
Ighv3-5	12	IGHV4-4	14
Ighv3-5	12	IGHV4-61	14
Dock7	4	DOCK7	1
Mtrf1	14	MTRF1	13
Cpa6	1	CPA6	8
Gm25471	7	SNORD116-5	15
Gm25471	7	SNORD116-1	15
Gm25471	7	SNORD116-3	15
Fbxw7	3	FBXW7	4
Ssxb2	X	SSX4B	X
Ssxb2	X	SSX2	X
Smc6	12	SMC6	2
Zkscan5	5	ZKSCAN5	7
Topors	4	TOPORS	9
Cdk5	5	CDK5	7
Tmem249	15	TMEM249	8
Mir365-1	16	MIR365A	16
Tube1	10	TUBE1	6
Zfp790	7	ZNF420	19
Cry1	10	CRY1	12
Commd2	3	COMMD2	3
Rheb	5	RHEB	7
Gjc3	5	GJC3	7
Mapkapk3	9	MAPKAPK3	3
Cdca7	2	CDCA7	2
Magea10	X	MAGEA10	X
Pla2g12a	3	PLA2G12A	4
Ighv3-3	12	IGHV4-39	14
Ighv3-3	12	IGHV4-59	14
Ighv3-3	12	IGHV4-4	14
Ighv3-3	12	IGHV4-61	14
Dnajb13	7	DNAJB13	11
Mir151	15	MIR151A	8
Tspyl5	15	TSPYL5	8
Pip	6	PIP	7
Plet1	9	PLET1	11
Ssh2	11	SSH2	17
Gm24240	17		17
Ncaph2	15	NCAPH2	22
Cenph	13	CENPH	5
Fcnb	2	FCN1	9
Ptdss1	13	PTDSS1	8
Glt6d1	2	GLT6D1	9
Slc31a2	4	SLC31A2	9
Ddx19a	8	DDX19A	16
Cmtm7	9	CMTM7	3
Zfp618	4	ZNF618	9
	12	RNU6-122P	X
Gm23422	1	RNU6-1156P	11
Gm23422	1	RNU6-1000P	4
Cracr2b	7	CRACR2B	11
Ets1	9	ETS1	11
Gm16513	5	PRAMEF18	1
Gm16513	5	PRAMEF2	1
Gm16513	5	PRAMEF4	1
Gm16513	5	PRAMEF13	1
Gm16513	5	PRAMEF10	1
Gm16513	5	PRAMEF11	1
Gm16513	5	PRAMEF1	1
Gm16513	5	PRAMEF6	1
Gm16513	5	PRAMEF5	1
Gm16513	5	PRAMEF33	1
Gm16513	5	PRAMEF7	1
Gm16513	5	PRAMEF8	1
Trit1	4	TRIT1	1
Ocrl	X	OCRL	X
1110038F14Rik	15	C8orf33	8
Tm2d1	4	TM2D1	1
Ago4	4	AGO4	1
Dlx1	2	DLX1	2
Dnajc8	4	DNAJC8	1
Ms4a14	19	MS4A14	11
H3c1	13	H3C2	6
Tnf	17	TNF	6
Gm22576	16	RNU6-603P	6
Crym	7	CRYM	16
Pramel20	4	PRAMEF18	1
Pramel20	4	PRAMEF2	1
Pramel20	4	PRAMEF4	1
Pramel20	4	PRAMEF13	1
Pramel20	4	PRAMEF10	1
Pramel20	4	PRAMEF11	1
Pramel20	4	PRAMEF1	1
Pramel20	4	PRAMEF6	1
Pramel20	4	PRAMEF5	1
Pramel20	4	PRAMEF33	1
Pramel20	4	PRAMEF7	1
Pramel20	4	PRAMEF8	1
Rbm38	2	RBM38	20
Clstn1	4	CLSTN1	1
Gucy1a1	3	GUCY1A1	4
Pou6f2	13	POU6F2	7
Mpeg1	19	MPEG1	11
E2f7	10	E2F7	12
	11	RNU6-1125P	7
Dact2	17	DACT2	6
Brf2	8	BRF2	8
Large2	2	LARGE2	11
Olfr1034	2		11
Olfr1034	2	OR5M9	11
Rars	11	RARS1	5
Slc35e3	10	SLC35E3	12
Tgm6	2	TGM6	20
Tnfsf9	17	TNFSF9	19
Pramel49	5	PRAMEF18	1
Pramel49	5	PRAMEF2	1
Pramel49	5	PRAMEF4	1
Pramel49	5	PRAMEF13	1
Pramel49	5	PRAMEF10	1
Pramel49	5	PRAMEF11	1
Pramel49	5	PRAMEF1	1
Pramel49	5	PRAMEF6	1
Pramel49	5	PRAMEF5	1
Pramel49	5	PRAMEF33	1
Pramel49	5	PRAMEF7	1
Pramel49	5	PRAMEF8	1
Zfp456	13	ZNF195	11
Tmcc3	10	TMCC3	12
Sppl2a	2	SPPL2A	15
Trav12-3	14	TRAV18	14
Pik3c2g	6	PIK3C2G	12
5730409E04Rik	4	C1orf216	1
Mir92b	3	MIR92A2	X
Gm23444	11	RNU2-1	17
Gm23444	11		17
Tnfrsf11b	15	TNFRSF11B	8
Phtf2	5	PHTF2	7
Mir10a	11	MIR10A	17
Gm21409	Y	SYCP3	12
Mfap1a	2	MFAP1	15
Cyb5d1	11	CYB5D1	17
Fa2h	8	FA2H	16
Kcnk4	19	KCNK4	11
Zdhhc5	2	ZDHHC5	11
Cyp4a30b	4	CYP4F12	19
Dcaf5	12	DCAF5	14
Ccdc136	6	CCDC136	7
Arfgef3	10	ARFGEF3	6
Rc3h2	2	RC3H2	9
Tfb1m	17	TFB1M	6
Tmprss13	9	TMPRSS13	11
Erbb4	1	ERBB4	2
Snx10	6	SNX10	7
Wasl	6	WASL	7
Trav13n-1	14	TRAV22	14
Trpm3	19	TRPM3	9
Lmnb1	18	LMNB1	5
Tbc1d12	19	TBC1D12	10
Cemip	7	CEMIP	15
Zmat1	X	ZMAT1	X
Cyfip2	11	CYFIP2	5
Sult2a1	7	SULT2A1	19
C130073F10Rik	4	PRAMEF18	1
C130073F10Rik	4	PRAMEF2	1
C130073F10Rik	4	PRAMEF4	1
C130073F10Rik	4	PRAMEF13	1
C130073F10Rik	4	PRAMEF10	1
C130073F10Rik	4	PRAMEF11	1
C130073F10Rik	4	PRAMEF1	1
C130073F10Rik	4	PRAMEF6	1
C130073F10Rik	4	PRAMEF5	1
C130073F10Rik	4	PRAMEF33	1
C130073F10Rik	4	PRAMEF7	1
C130073F10Rik	4	PRAMEF8	1
Syce1l	8	SYCE1L	16
	9	SNORD14E	11
Prss36	7	PRSS36	16
Ttc29	8	TTC29	4
Gcfc2	6	GCFC2	2
Zfta	19	ZFTA	11
Shld3	13	SHLD3	5
Ppp1r36	12	PPP1R36	14
Gm5485	16	C3orf85	3
Gnptab	10	GNPTAB	12
Cma1	14	CMA1	14
Ctsc	7	CTSC	11
Vti1a	19	VTI1A	10
Saal1	7	SAAL1	11
Mgat4d	8	MGAT4D	4
Clspn	4	CLSPN	1
Zbtb39	10	ZBTB39	12
Dlgap2	8	DLGAP2	8
Map3k15	X	MAP3K15	X
L3mbtl3	10	L3MBTL3	6
Adm2	15	ADM2	22
Dtnbp1	13	DTNBP1	6
Gm22812	7	SNORD116-5	15
Gm22812	7	SNORD116-1	15
Gm22812	7	SNORD116-3	15
Ighv1-53	12	IGHV1-45	14
Ighv1-53	12	IGHV1-46	14
Ighv1-53	12	IGHV1-58	14
Ighv1-53	12	IGHV1-3	14
Ighv1-53	12	IGHV1-69	14
Ighv1-53	12	IGHV1-69-2	14
Ighv1-53	12	IGHV1-69D	14
Fam227b	2	FAM227B	15
Nup98	7	NUP98	11
Serpinf2	11	SERPINF2	17
Zfp462	4	ZNF462	9
Luc7l3	11	LUC7L3	17
Mrgprb4	7	MRGPRX4	11
Gm23269	3	RNU6-656P	8
Rasgrf2	13	RASGRF2	5
Slc27a5	7	SLC27A5	19
Cdk16	X	CDK16	X
Tulp2	7	TULP2	19
Fsd1l	4	FSD1L	9
Trav7n-6	14	TRAV12-1	14
Trav7n-6	14	TRAV12-2	14
Trav7n-6	14	TRAV12-3	14
Smdt1	15	SMDT1	22
Gm24863	13	RNU6-34P	4
Prkci	3	PRKCI	3
Mrps9	1	MRPS9	2
Galnt7	8	GALNT7	4
Fam78a	2	FAM78A	9
Trav6-2	14	TRAV9-2	14
Gm22708	2	RNU6-663P	8
Ifit3	19	IFIT3	10
Stx1a	5	STX1A	7
Sdr42e1	8	SDR42E1	16
Dph3	14	DPH3	3
Calm4	13	CALML5	10
Smim41	15	SMIM41	12
Gcm1	9	GCM1	6
Scn3b	9	SCN3B	11
Sertad3	7	SERTAD3	19
Gpr37	6	GPR37	7
Lsm11	11	LSM11	5
Trav6n-5	14	TRAV9-1	14
G3bp2	5	G3BP2	4
Fmnl3	15	FMNL3	12
Zeb1	18	ZEB1	10
Gm20920	Y	SYCP3	12
Trappc1	11	TRAPPC1	17
Rbm43	2	RBM43	2
Krt73	15	KRT73	12
Stag1	9	STAG1	3
Mamld1	X	MAMLD1	X
H2-M2	17	HLA-E	6
Ddit4	10	DDIT4	10
Hba-a1	11	HBA2	16
Hba-a1	11	HBA1	16
Dpep3	8	DPEP3	16
Mrgprb5	7	MRGPRX4	11
Kcnt1	2	KCNT1	9
Mrgprb1	7	MRGPRX4	11
Gprc5b	7	GPRC5B	16
	10	RN7SKP143	10
Frrs1l	4	FRRS1L	9
St3gal1	15	ST3GAL1	8
Hs1bp3	12	HS1BP3	2
Atp6v1h	1	ATP6V1H	8
Popdc3	10	POPDC3	6
Xpo5	17	XPO5	6
Kir3dl2	X	KIR2DL3	19
Kir3dl2	X	KIR2DL1	19
Kir3dl2	X	KIR3DL1	19
Kir3dl2	X	KIR2DS4	19
Kir3dl2	X	KIR3DL2	19
Glg1	8	GLG1	16
Slc13a3	2	SLC13A3	20
Crisp1	17	CRISP3	6
Ighv1-58	12	IGHV1-45	14
Ighv1-58	12	IGHV1-46	14
Ighv1-58	12	IGHV1-58	14
Ighv1-58	12	IGHV1-3	14
Ighv1-58	12	IGHV1-69	14
Ighv1-58	12	IGHV1-69-2	14
Ighv1-58	12	IGHV1-69D	14
Olig3	10	OLIG3	6
Olfr981	9	OR10G6	11
Gm26065	X	RNU6-890P	6
Tceal5	X	TCEAL6	X
Dynlt1c	17	DYNLT1	6
Gm26331	8	RNU6-36P	12
Maf	8	MAF	16
Arr3	X	ARR3	X
Ppp1r37	7	PPP1R37	19
Gm22362	6		4
2610001J05Rik	6	SMIM30	7
Vars	17	VARS1	6
Pdik1l	4	PDIK1L	1
Olfr1513	14	OR10G3	14
Slc25a14	X	SLC25A14	X
Atad2b	12	ATAD2B	2
Crybb2	5	CRYBB2	22
Ddx39b	17	DDX39B	6
Tex12	9	TEX12	11
Mtmr1	X	MTMR1	X
Drd2	9	DRD2	11
Calm3	7	CALM3	19
Cdk4	10	CDK4	12
Ptk7	17	PTK7	6
St3gal4	9	ST3GAL4	11
Mms19	19	MMS19	10
Smim4	14	SMIM4	3
Arhgap5	12	ARHGAP5	14
Calml3	13	CALML3	10
Capzb	4	CAPZB	1
Gm26397	8		10
Chrna3	9	CHRNA3	15
Nbea	3	NBEA	13
B3galt6	4	B3GALT6	1
Dmac2l	12	DMAC2L	14
Clec4f	6	CLEC4F	2
Olfr63	17	OR10H4	19
Dync2i1	12	DYNC2I1	7
1520401A03Rik	17	GREP1	16
Ell2	13	ELL2	5
Izumo3	4	IZUMO3	9
Aarsd1	11	AARSD1	17
Aarsd1	11	PTGES3L-AARSD1	17
Gm21394	Y	SPIN2A	X
Esyt3	9	ESYT3	3
Gm25834	18	RNU6-1286P	6
Gm23025	3	RNU6-531P	4
Olfr728	14	OR4K1	14
Gm24131	5	RNU6-293P	6
Snora52	7	SNORA52	11
Trbv15	6	TRBV12-3	7
Trbv15	6	TRBV12-4	7
Morf4l1	9	MORF4L1	15
Dact1	12	DACT1	14
Mir19b-2	X	MIR19B2	X
Dcxr	11	DCXR	17
Slco4c1	1	SLCO4C1	5
Eea1	10	EEA1	12
Katna1	10	KATNA1	6
Gm26270	7	SNORD116-5	15
Gm26270	7	SNORD116-1	15
Gm26270	7	SNORD116-3	15
Gpr119	X	GPR119	X
Ifnk	4	IFNK	9
	6	RNU1-14P	7
Ttc33	15	TTC33	5
Olfr995	2	OR5AK3P	11
Gm25819	11	RNU6-410P	4
Gm25474	7	SNORD116-5	15
Gm25474	7	SNORD116-1	15
Gm25474	7	SNORD116-3	15
Xbp1	11	XBP1	22
Gabarapl2	8	GABARAPL2	16
Pigq	17	PIGQ	16
Trav23	14	TRAV39	14
Cpt2	4	CPT2	1
Ighv1-12	12	IGHV1-45	14
Ighv1-12	12	IGHV1-46	14
Ighv1-12	12	IGHV1-58	14
Ighv1-12	12	IGHV1-3	14
Ighv1-12	12	IGHV1-69	14
Ighv1-12	12	IGHV1-69-2	14
Ighv1-12	12	IGHV1-69D	14
Clic3	2	CLIC3	9
Sart1	19	SART1	11
Tango6	8	TANGO6	16
C1qtnf7	5	C1QTNF7	4
Alx1	10	ALX1	12
Zfp738	13	ZNF85	19
Zfp738	13	ZNF682	19
Zfp738	13	ZNF724	19
Slc35g2	9	SLC35G2	3
Pdcd2l	7	PDCD2L	19
Pdcd2l	7		19
Magt1	X	MAGT1	X
Zc3h4	7	ZC3H4	19
Dab2	15	DAB2	5
Gm25811	4	RNU6-223P	7
Dleu7	14	DLEU7	13
Serpina1d	12	SERPINA1	14
Rnf141	7	RNF141	11
Dennd1c	17	DENND1C	19
Kdm7a	6	KDM7A	7
Naa60	16	NAA60	16
Gm20826	Y	SPIN2A	X
Ppp3cc	14	PPP3CC	8
Scoc	8	SCOC	4
Ttk	9	TTK	6
Gm21440	Y	SPIN2A	X
Aco1	4	ACO1	9
Tmem102	11	TMEM102	17
Cd276	9	CD276	15
Flt4	11	FLT4	5
Ndfip2	14	NDFIP2	13
Hoxb8	11	HOXB8	17
Olfr350	2	OR1J4	9
Ighv8-2	12	IGHV2OR16-5	16
Ighv8-2	12	IGHV2-5	14
Ighv8-2	12	IGHV2-70D	14
Ighv8-2	12	IGHV2-70	14
Bhlha15	5	BHLHA15	7
Ckap2l	2	CKAP2L	2
Eef1a1	9	EEF1A1	6
Mir129b	2	MIR129-2	11
Ap3s1	18	AP3S1	5
Ssty1	Y	SPIN2A	X
Foxc2	8	FOXC2	16
Bbs10	10	BBS10	12
Rps6ka1	4	RPS6KA1	1
Gm24497	1	RNU2-1	17
Gm24497	1		17
Mir25	5	MIR25	7
Sugct	13	SUGCT	7
Sacs	14	SACS	13
Clpx	9	CLPX	15
Hmx2	7	HMX2	10
Srrm3	5	SRRM3	7
Obp2b	2	OBP2A	9
Obp2b	2	OBP2B	9
Gm21586	4		9
Clybl	14	CLYBL	13
Atp6v1c1	15	ATP6V1C1	8
Gm23877	2	SNORA68B	19
Gm26079	5	SNORA49	12
Pccb	9	PCCB	3
Gm15319	8	POTEA	8
Glrx3	7	GLRX3	10
Gm20695	16	CLUAP1	16
Fam186a	15	FAM186A	12
Aadat	8	AADAT	4
Kdm6a	X	KDM6A	X
Gabrr3	16	GABRR3	3
Klhl2	8	KLHL2	4
Gm13694	2	CWC22	2
Dnaaf6	1	DNAAF6	X
Tti2	8	TTI2	8
Psg27	7	CEACAM21	19
Wdpcp	11	WDPCP	2
Gm28961	Y	SYCP3	12
Olfr1096	2	OR8H3	11
Mal2	15	MAL2	8
Shld2	14	SHLD2	10
Gm1993	X	SYCP3	12
Spr	6	SPR	2
Gja4	4	GJA4	1
Spi1	2	SPI1	11
Gm23153	1	RN7SL454P	17
Gm23153	1	RN7SL838P	11
Mdh1b	1	MDH1B	2
Lonp2	8	LONP2	16
Cilp	9	CILP	15
Gtf2a2	9	GTF2A2	15
	19	SNORA19	10
Tarsl2	7	TARS3	15
Map3k8	18	MAP3K8	10
Mtrf1l	10	MTRF1L	6
Skiv2l	17	SKIV2L	6
Mir126a	2	MIR126	9
Rasal3	17	RASAL3	19
Lgals9	11	LGALS16	19
Lgals9	11	LGALS14	19
Gm28998	Y	SYCP3	12
Orc5	5	ORC5	7
4930590J08Rik	6	C3orf20	3
Gm10230	X	SYCP3	12
Gria1	11	GRIA1	5
Gm25416	7	RNU6-530P	7
Gm25416	7	RNU6-850P	6
Gm25416	7	RNU6-172P	12
Gm25416	7	RNU6-1083P	12
Esam	9	ESAM	11
Olfr569	7	OR52R1	11
Glt1d1	5	GLT1D1	12
Epm2a	10	EPM2A	6
Slc43a3	2	SLC43A3	11
Insr	8	INSR	19
Plg	17	PLG	6
Nrap	19	NRAP	10
Gm29564	Y	SYCP3	12
Prom1	5	PROM1	4
Grm8	6	GRM8	7
Klhl36	8	KLHL36	16
Trav9d-1	14	TRAV8-1	14
Trav9d-1	14	TRAV8-3	14
Gtpbp10	5	GTPBP10	7
Eif3l	15	EIF3L	22
Fkrp	7	FKRP	19
Gab3	X	GAB3	X
Prpf4	4	PRPF4	9
Gm25682	10	RNU1-149P	12
Scamp5	9	SCAMP5	15
Gm24453	19	SNORD28B	6
Gm24453	19	SNORD28	11
H1f6	13	H1-6	6
Trav12n-1	14	TRAV18	14
Msx2	13	MSX2	5
Osbpl6	2	OSBPL6	2
Gm10767	13	RAMACL	6
Gm10767	13	RAMAC	15
Vash1	12	VASH1	14
Shisa2	14	SHISA2	13
Snora26	5	SNORA26	4
Snora26	5		4
Usp9x	X	USP9X	X
Psd2	18	PSD2	5
Wdfy1	1	WDFY1	2
Slc52a2	15	SLC52A2	8
Tlcd5	9	TLCD5	11
Carm1	9	CARM1	19
Dnajc6	4	DNAJC6	1
Atp2b2	6	ATP2B2	3
Kyat1	2		9
Kyat1	2	KYAT1	9
Ip6k1	9	IP6K1	3
Fbxl5	5	FBXL5	4
Rrs1	1	RRS1	8
Gm24452	19	SNORD27	11
Mrgprb8	7	MRGPRX4	11
Gpaa1	15	GPAA1	8
Vps39	2	VPS39	15
Gdnf	15	GDNF	5
Sult2a4	7	SULT2A1	19
Pou4f2	8	POU4F2	4
Btbd6	12	BTBD6	14
Pdcl3	1	PDCL3	2
Dmrtc2	7	DMRTC2	19
AU015836	X	CHCHD4	3
Ceacam15	7	CEACAM21	19
Mthfd2l	5	MTHFD2L	4
Ndufaf4	4	NDUFAF4	6
Chn2	6		7
Srf	17	SRF	6
Ccdc85a	11	CCDC85A	2
Zfp42	8	ZFP42	4
Trav13d-3	14	TRAV22	14
Rftn2	1	RFTN2	2
Cercam	2	CERCAM	9
Gm22047	7	SNORD116-5	15
Gm22047	7	SNORD116-1	15
Gm22047	7	SNORD116-3	15
Rnf111	9	RNF111	15
Tmem270	5	TMEM270	7
Olfr272	4	OR13C8	9
Gm23535	1	RNU6-122P	X
Gm23732	12	RNU6-173P	4
Ptpmt1	2	PTPMT1	11
Gm25157	7	SNORD116-5	15
Gm25157	7	SNORD116-1	15
Gm25157	7	SNORD116-3	15
Dspp	5	DSPP	4
Matn3	12	MATN3	2
Plekhg2	7	PLEKHG2	19
Gtpbp2	17	GTPBP2	6
Pnldc1	17	PNLDC1	6
Idh3a	9	IDH3A	15
	4	SNORA17A	9
Mill1	7	MICB	6
Parp10	15	PARP10	8
Gm24522	X	RNU6-526P	8
Cars	7	CARS1	11
Gdf11	10	GDF11	12
Mrpl40	16	MRPL40	22
H2-Q4	17	HLA-E	6
Olfr729	14	OR4K5	14
Sucnr1	3	SUCNR1	3
Gm20931	Y	SYCP3	12
Armc8	9	ARMC8	3
Ubxn2a	12	UBXN2A	2
Rfc2	5	RFC2	7
Shb	4		9
Shb	4	SHB	9
Cdkl1	12	CDKL1	14
Kirrel3	9	KIRREL3	11
Dync1li1	9	DYNC1LI1	3
Gm22661	13	SNORA68B	19
Hoxb4	11	HOXB4	17
	18	RNU6-931P	4
Hes3	4	HES3	1
Smim12	4	SMIM12	1
Gm25816	7	SNORD116-5	15
Gm25816	7	SNORD116-1	15
Gm25816	7	SNORD116-3	15
Spag1	15	SPAG1	8
Snora30	7	SNORA30	16
Lrrc26	2	LRRC26	9
Map7d2	X	MAP7D2	X
Brcc3	X	BRCC3	X
Lpcat3	6	LPCAT3	12
Gm22851	7	SNORD116-5	15
Gm22851	7	SNORD116-1	15
Gm22851	7	SNORD116-3	15
Ddx17	15	DDX17	22
Mirlet7c-2	15	MIRLET7A3	22
Gm23471	7		10
Gm23471	7	SNORD115-48	15
Alkbh2	5	ALKBH2	12
Dscc1	15	DSCC1	8
Dpysl5	5	DPYSL5	2
Plcl2	17	PLCL2	3
Lama4	10	LAMA4	6
Gm49369	7		11
Gm49369	7	CTSD	11
Klk1	7	KLK2	19
Klk1	7	KLK1	19
Fosl2	5	FOSL2	2
Pter	2	PTER	10
2310057J18Rik	10	C6orf58	6
Dppa5a	9	DPPA5	6
Ak8	2	AK8	9
Fat4	3	FAT4	4
Gm20888	Y	SYCP3	12
Impg2	16	IMPG2	3
Cldn18	9	CLDN18	3
Psmd12	11	PSMD12	17
Chpt1	10	CHPT1	12
Smpd2	10	SMPD2	6
Gm20883	Y	SYCP3	12
Mdga1	17	MDGA1	6
Gm20390	11	NME1-NME2	17
Rnf43	11		17
Zfp467	6	ZNF467	7
Wee2	6	WEE2	7
Nop10	2	NOP10	15
Asic5	3	ASIC5	4
C4b	17	C4A	6
C4b	17	C4B	6
Rag1	2	RAG1	11
Serpina1c	12	SERPINA1	14
Cblc	7	CBLC	19
Krtap5-4	7	KRTAP5-2	11
Krtap5-4	7	KRTAP5-5	11
Nelfa	5	NELFA	4
Gm2012	X	SYCP3	12
Nab2	10	NAB2	12
Hif1a	12	HIF1A	14
Mrps36	13	MRPS36	5
Tmem134	19	TMEM134	11
Olfr15	16	OR2C1	16
Map2k2	10		7
Asb5	8	ASB5	4
Mtdh	15	MTDH	8
Aldh1a3	7	ALDH1A3	15
Phf11c	14	PHF11	13
Gpr45	1	GPR45	2
Gm25626	10	RNU6-1189P	X
Itgam	7	ITGAM	16
Gm24218	16	RNU6-194P	6
Krt75	15	KRT75	12
Col28a1	6	COL28A1	7
Zfpm1	8	ZFPM1	16
Rps19	7	RPS19	19
Naa15	3	NAA15	4
Slbp	5	SLBP	4
Slc7a9	7	SLC7A9	19
Rplp1	9	RPLP1	15
Upk1b	16	UPK1B	3
Tysnd1	10	TYSND1	10
Gm20843	Y	SYCP3	12
Apol11a	15	APOL3	22
Apol11a	15	APOL4	22
Apol11a	15	APOL2	22
Apol11a	15	APOL1	22
Sepsecs	5	SEPSECS	4
Epb41l4b	4	EPB41L4B	9
Lyrm4	13	LYRM4	6
Plpp7	2	PLPP7	9
Slc28a1	7	SLC28A1	15
Mex3b	7	MEX3B	15
Gm7075	10	RNF7	3
Itgb1	8	ITGB1	10
Plod2	9	PLOD2	3
Tagap	17	TAGAP	6
Polr3e	7	POLR3E	16
Zfp282	6	ZNF282	7
Tssk6	8	TSSK6	19
Gm23203	17	RNU6-1204P	14
Gm13057	4	PRAMEF18	1
Gm13057	4	PRAMEF2	1
Gm13057	4	PRAMEF4	1
Gm13057	4	PRAMEF13	1
Gm13057	4	PRAMEF10	1
Gm13057	4	PRAMEF11	1
Gm13057	4	PRAMEF1	1
Gm13057	4	PRAMEF6	1
Gm13057	4	PRAMEF5	1
Gm13057	4	PRAMEF33	1
Gm13057	4	PRAMEF7	1
Gm13057	4	PRAMEF8	1
Gabbr1	17	GABBR1	6
Helz	11	HELZ	17
Vwa8	14	VWA8	13
Atp6v1fnb	6	ATP6V1FNB	7
Pigh	12	PIGH	14
Klk1b16	7	KLK2	19
Klk1b16	7	KLK1	19
Aen	7	AEN	15
Ei24	9	EI24	11
Zfy1	Y	ZNF837	19
Zfy1	Y		19
Zfy1	Y	ZNF584	19
Zfy1	Y	ZNF586	19
Zfy1	Y	ZNF480	19
Zfy1	Y	ZNF610	19
Zfy1	Y	ZNF548	19
Zfy1	Y	ZNF561	19
Zfy1	Y	ZNF562	19
Zfy1	Y	ZNF552	19
Zfy1	Y	ZNF587B	19
Zfy1	Y	ZNF256	19
Olfr1509	14	OR4E2	14
Ffar3	7	FFAR3	19
Igf1	10	IGF1	12
Gm26314	X	RNU6-84P	6
Slc25a13	6	SLC25A13	7
Ufsp2	8	UFSP2	4
Draxin	4	DRAXIN	1
Spa17	9	SPA17	11
Rala	13	RALA	7
Gm4131	14	C13orf42	13
Igdcc3	9	IGDCC3	15
Aqp1	6		7
Aqp1	6	AQP1	7
Strada	11	STRADA	17
Adad2	8	ADAD2	16
Tm2d3	7	TM2D3	15
H2-M5	17	HLA-E	6
Cckar	5	CCKAR	4
Wrn	8	WRN	8
Iqsec1	6	IQSEC1	3
Rfc5	5	RFC5	12
Ing4	6	ING4	12
Ndufaf8	11	NDUFAF8	17
Ggt1	10	GGTLC2	22
Abca1	4	ABCA1	9
Oxnad1	14	OXNAD1	3
Wtip	7	WTIP	19
Usf3	16	USF3	3
Rabl6	2	RABL6	9
Kbtbd4	2	KBTBD4	11
Ccdc187	2	CCDC187	9
Ccn4	15	CCN4	8
Med7	11	MED7	5
Cer1	4	CER1	9
Ndufb1	12	NDUFB1	14
Frmd7	X	FRMD7	X
Ccdc60	5	CCDC60	12
Cdkn1a	17	CDKN1A	6
Adam10	9	ADAM10	15
Klk1b26	7	KLK2	19
Klk1b26	7	KLK1	19
Il31	5	IL31	12
Pdss2	10	PDSS2	6
Pvrig	5	PVRIG	7
Abhd5	9	ABHD5	3
	12	RN7SKP275	4
Anapc1	2	ANAPC1	2
Spata19	9	SPATA19	11
Slc3a1	17	SLC3A1	2
Psmb1	17	PSMB1	6
Dach2	X	DACH2	X
Trim23	13	TRIM23	5
Rcc2	4	RCC2	1
Dnlz	2	DNLZ	9
Fam151b	13	FAM151B	5
Ogfod1	8	OGFOD1	16
Rapsn	2	RAPSN	11
Areg	5	AREG	4
Sap30l	11	SAP30L	5
Tas2r144	6	TAS2R40	7
Fzd2	11	FZD2	17
Dnali1	4	DNALI1	1
Pramel41	5	PRAMEF18	1
Pramel41	5	PRAMEF2	1
Pramel41	5	PRAMEF4	1
Pramel41	5	PRAMEF13	1
Pramel41	5	PRAMEF10	1
Pramel41	5	PRAMEF11	1
Pramel41	5	PRAMEF1	1
Pramel41	5	PRAMEF6	1
Pramel41	5	PRAMEF5	1
Pramel41	5	PRAMEF33	1
Pramel41	5	PRAMEF7	1
Pramel41	5	PRAMEF8	1
Zfp112	7		19
Acot12	13	ACOT12	5
Mrpl44	1	MRPL44	2
Ptafr	4	PTAFR	1
Dnah7a	1	DNAH7	2
Atp1b2	11	ATP1B2	17
Trav6d-7	14	TRAV9-2	14
Nr2c2ap	8	NR2C2AP	19
Sct	7	SCT	11
Gm26177	10	RNU6-1075P	10
Casp8ap2	4	CASP8AP2	6
Magea4	X	MAGEA10	X
Gm29582	Y	SYCP3	12
Vasn	16	VASN	16
Ccdc88b	19	CCDC88B	11
Trav19	14	TRAV29DV5	14
Olfr1491	19	OR10Q1	11
Efnb3	11	EFNB3	17
Cebpb	2	CEBPB	20
Auts2	5	AUTS2	7
Lgi1	19	LGI1	10
Ccdc157	11	CCDC157	22
Rnf148	6	RNF148	7
Khdrbs2	1	KHDRBS2	6
Irf2bp1	7	IRF2BP1	19
Gm22298	2		4
Gm22298	2		7
Slc5a7	17	SLC5A7	2
Sgo2b	8	SGO2	2
Gm24527	13	RNU6-1204P	14
Ifit1bl1	19	IFIT1B	10
Acsbg1	9	ACSBG1	15
Ocel1	8	OCEL1	19
	16	RNU6-1338P	6
Snord2	16		10
