human_gene_symbol	human_chromosome	entity_type	category	parent	consensus_score	is_cs	database_cs	is_tf	database_tf
FLT4	5	protein	receptor, transmembrane_predicted, plasma_membrane, adhesion, transmembrane, secreted, extracellular, transmembrane_sosui, cell_adhesion, plasma_membrane_transmembrane, growth_factor, cell_surface, ligand, transmembrane_phobius, intracellular, receptor_tyrosine_kinases_rtk, tyrosine_kinase, kinase, transmembrane_tmhmm, vegf_pdgf	receptor, transmembrane, plasma_membrane, adhesion, secreted, extracellular, transmembrane_predicted, cell_adhesion, plasma_membrane_transmembrane, cell_surface, ligand, intracellular	22	TRUE	Cellinker, OmniPath, HPMR, CellTalkDB, HGNC, UniProt, Ramilowski2015, HPA_secretome, Surfaceome, Almen2009, CellChatDB, LRdb, ICELLNET, CellPhoneDB, CSPA, Baccin2019, Membranome, EMBRACE, Kirouac2010, TopDB, iTALK, scConnect, CellCellInteractions, talklr, GO_Intercell, CellCall, ComPPI, connectomeDB2020, SignaLink_function, Ramilowski_location, Phobius, Guide2Pharma	FALSE	NA
FLVCR1	1	protein	intracellular, transmembrane, cell_surface, receptor, plasma_membrane	intracellular, transmembrane, cell_surface, receptor, transmembrane_predicted, plasma_membrane	6	TRUE	ComPPI, OmniPath, GO_Intercell, UniProt, CellCellInteractions, Phobius, LOCATE, TopDB, Surfaceome, Ramilowski_location, scConnect	FALSE	NA
FLVCR2	14	protein	cell_surface, transmembrane, intracellular, receptor, plasma_membrane	cell_surface, transmembrane, intracellular, receptor, transmembrane_predicted, plasma_membrane	5	TRUE	OmniPath, UniProt, scConnect, LOCATE, Ramilowski_location, Phobius, GO_Intercell, Surfaceome	FALSE	NA
FLYWCH1	16	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, ComPPI	TRUE	CollecTRI;GOA_CollecTRI
FLYWCH2	16	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
FMC1	7	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, GO_Intercell, UniProt	FALSE	NA
FMN1	15	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	FALSE	ComPPI, GO_Intercell, OmniPath, UniProt	FALSE	NA
FMN2	1	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	FALSE	UniProt, GO_Intercell, OmniPath, ComPPI	FALSE	NA
FMNL1	17	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	FALSE	ComPPI, OmniPath, UniProt, GO_Intercell	FALSE	NA
FMNL2	2	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	FALSE	NA
FMNL3	12	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	FALSE	ComPPI, OmniPath, UniProt, GO_Intercell	FALSE	NA
FMO1	1	protein	transmembrane_phobius, transmembrane, intracellular, transmembrane_predicted, transmembrane_sosui	transmembrane_predicted, transmembrane, intracellular	5	TRUE	Almen2009, UniProt, Phobius, OmniPath, GO_Intercell, Ramilowski_location	FALSE	NA
FMO2	1	protein	transmembrane, intracellular, transmembrane_phobius, transmembrane_predicted, transmembrane_tmhmm, transmembrane_sosui	transmembrane, intracellular, transmembrane_predicted	4	TRUE	UniProt, OmniPath, Almen2009, Phobius, ComPPI, GO_Intercell	FALSE	NA
FMO3	1	protein	transmembrane, transmembrane_sosui, intracellular, transmembrane_phobius, transmembrane_predicted, transmembrane_tmhmm	transmembrane, transmembrane_predicted, intracellular	6	TRUE	UniProt, Almen2009, GO_Intercell, LOCATE, OmniPath, Ramilowski_location, Phobius	FALSE	NA
FMO4	1	protein	transmembrane_tmhmm, transmembrane, transmembrane_sosui, intracellular, transmembrane_predicted, transmembrane_phobius	transmembrane_predicted, transmembrane, intracellular	5	TRUE	Almen2009, UniProt, Ramilowski_location, GO_Intercell, OmniPath, Phobius	FALSE	NA
FMO5	1	protein	transmembrane, transmembrane_phobius, transmembrane_tmhmm, transmembrane_predicted, intracellular, transmembrane_sosui	transmembrane, transmembrane_predicted, intracellular	4	TRUE	UniProt, Almen2009, Phobius, OmniPath, ComPPI, Ramilowski_location, GO_Intercell	FALSE	NA
FMOD	1	protein	small_leucine_rich_repeat_proteoglycan, ecm, proteoglycan, extracellular, ligand_antagonist, secreted, intracellular, ligand_regulator	ecm, extracellular, ligand_regulator, secreted, intracellular	5	FALSE	HGNC, UniProt, GO_Intercell, Matrisome, LOCATE, CellChatDB, OmniPath, HPA_secretome, CellCellInteractions, Ramilowski_location, MatrixDB	FALSE	NA
FMR1	X	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	FALSE	OmniPath, UniProt, ComPPI, GO_Intercell	FALSE	NA
FMR1NB	X	protein	transmembrane	transmembrane, transmembrane_predicted	4	TRUE	Ramilowski_location, UniProt, Phobius, OmniPath	FALSE	NA
FN1	2	protein	secreted, glycoprotein, ecm, adhesion, extracellular, matrix_adhesion, intracellular	secreted, ecm, adhesion, extracellular, matrix_adhesion, intracellular	16	TRUE	Baccin2019, Matrisome, connectomeDB2020, UniProt, OmniPath, Cellinker, HPA_secretome, Ramilowski_location, GO_Intercell, LOCATE, CellChatDB, Zhong2015, HPMR, MCAM, ComPPI	FALSE	NA
FN3K	17	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	FALSE	NA
FN3KRP	17	protein	intracellular	intracellular	2	FALSE	GO_Intercell, ComPPI, OmniPath	FALSE	NA
FNBP1	9	protein	fbar_actin_dynamics_endocytosis, intracellular, plasma_membrane, intracellular_intercellular_related	intracellular_intercellular_related, intracellular, plasma_membrane	3	FALSE	HGNC, OmniPath, GO_Intercell, ComPPI, UniProt	FALSE	NA
FNBP1L	1	protein	intracellular, plasma_membrane, fbar_actin_dynamics_endocytosis, intracellular_intercellular_related	intracellular, plasma_membrane, intracellular_intercellular_related	3	FALSE	ComPPI, OmniPath, HGNC, GO_Intercell, UniProt	FALSE	NA
FNBP4	11	protein	intracellular	intracellular	2	FALSE	OmniPath, GO_Intercell, ComPPI	FALSE	NA
FNDC1	6	protein	secreted, ecm, glycoprotein	secreted, ecm	3	FALSE	OmniPath, HPA_secretome, UniProt, MatrixDB, Matrisome	FALSE	NA
FNDC10	1	protein	transmembrane, cell_surface, plasma_membrane_transmembrane	transmembrane, cell_surface, transmembrane_predicted, plasma_membrane_transmembrane	4	TRUE	UniProt, OmniPath, Phobius, Surfaceome, Ramilowski_location, Membranome	FALSE	NA
FNDC11	20	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
FNDC3A	13	protein	transmembrane, intracellular, transmembrane_sosui, transmembrane_phobius, transmembrane_predicted, transmembrane_tmhmm	transmembrane, transmembrane_predicted, intracellular	5	TRUE	OmniPath, Phobius, UniProt, GO_Intercell, Ramilowski_location, Almen2009	FALSE	NA
FNDC3B	3	protein	transmembrane, transmembrane_predicted, transmembrane_phobius, transmembrane_tmhmm, transmembrane_sosui	transmembrane, transmembrane_predicted	5	TRUE	OmniPath, UniProt, Ramilowski_location, Almen2009, Phobius	FALSE	NA
FNDC4	2	protein	plasma_membrane_transmembrane, secreted, transmembrane_tmhmm, transmembrane_phobius, intracellular, transmembrane, cell_surface, transmembrane_predicted	plasma_membrane_transmembrane, secreted, transmembrane_predicted, intracellular, transmembrane, cell_surface	6	TRUE	OmniPath, UniProt, Almen2009, ComPPI, Ramilowski_location, Surfaceome, GO_Intercell, Phobius, LOCATE, Membranome	FALSE	NA
FNDC5	1	protein	ligand, transmembrane, plasma_membrane, transmembrane_tmhmm, secreted, extracellular, intracellular, plasma_membrane_transmembrane, transmembrane_predicted, transmembrane_sosui, hormone, cell_surface, transmembrane_phobius	ligand, transmembrane, plasma_membrane, transmembrane_predicted, secreted, extracellular, intracellular, plasma_membrane_transmembrane, cell_surface	7	TRUE	DGIdb, UniProt, OmniPath, Almen2009, connectomeDB2020, ComPPI, Membranome, Phobius, Ramilowski_location, GO_Intercell, CSPA, LOCATE, Surfaceome, TopDB	FALSE	NA
FNDC7	1	protein	glycoprotein, secreted, ecm	ecm, secreted	3	FALSE	Matrisome, HPA_secretome, OmniPath, MatrixDB, UniProt	FALSE	NA
FNDC8	17	protein	intracellular	intracellular	2	FALSE	GO_Intercell, OmniPath, ComPPI	FALSE	NA
FNDC9	5	protein	transmembrane, transmembrane_sosui, transmembrane_predicted, plasma_membrane_transmembrane, cell_surface, transmembrane_tmhmm, transmembrane_phobius	transmembrane, transmembrane_predicted, plasma_membrane_transmembrane, cell_surface	5	TRUE	UniProt, Almen2009, Phobius, OmniPath, Membranome, Surfaceome, Ramilowski_location	FALSE	NA
FNIP1	5	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, UniProt, OmniPath	FALSE	NA
FNIP2	4	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, ComPPI, OmniPath	FALSE	NA
FNTA	8	protein	receptor, intracellular, transmembrane	receptor, intracellular, transmembrane	2	TRUE	scConnect, LOCATE, OmniPath, GO_Intercell, ComPPI	FALSE	NA
FNTB	14	protein	intracellular, receptor	intracellular, receptor	2	FALSE	ComPPI, scConnect, OmniPath, GO_Intercell, LOCATE	FALSE	NA
FOCAD	9	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	4	TRUE	UniProt, GO_Intercell, Ramilowski_location, Phobius, OmniPath	FALSE	NA
FOLH1	11	protein	transmembrane_tmhmm, transmembrane_phobius, receptor, plasma_membrane, intracellular, transmembrane, cell_surface, extracellular, cell_surface_enzyme, transmembrane_predicted, transmembrane_sosui	transmembrane_predicted, receptor, plasma_membrane, intracellular, transmembrane, cell_surface, extracellular, cell_surface_enzyme	7	TRUE	Almen2009, OmniPath, UniProt, GO_Intercell, Phobius, TopDB, Surfaceome, scConnect, LOCATE, ComPPI, Ramilowski_location	FALSE	NA
FOLR1	11	protein	plasma_membrane_transmembrane, intracellular, receptor, other_receptor_family, plasma_membrane, plasma_membrane_peripheral, transmembrane, transmembrane_phobius, secreted, transmembrane_predicted, extracellular, scavenger, basolateral_cell_membrane, c_lectinn_containing_scavenger_scavenger, transmembrane_tmhmm, peripheral, cell_surface, apical_cell_membrane	plasma_membrane_transmembrane, intracellular, receptor, plasma_membrane, plasma_membrane_peripheral, transmembrane, transmembrane_predicted, secreted, extracellular, peripheral, cell_surface	4	TRUE	CSPA, GO_Intercell, OmniPath, ComPPI, UniProt, HPMR, TopDB, Almen2009, HPA_secretome, LOCATE, Ramilowski_location, CellCellInteractions, Phobius, Surfaceome	FALSE	NA
FOLR2	11	protein	extracellular, receptor, peripheral, secreted, other_receptor_family, plasma_membrane, transmembrane, cell_surface, folate	extracellular, receptor, peripheral, secreted, plasma_membrane, transmembrane_predicted, cell_surface, transmembrane	3	TRUE	OmniPath, CellCellInteractions, HPMR, UniProt, Phobius, Surfaceome, GO_Intercell, Ramilowski_location, HPA_secretome, TopDB	FALSE	NA
FOLR3	11	protein	extracellular, receptor, secreted, other_receptor_family, intracellular, plasma_membrane_transmembrane, folate	extracellular, receptor, secreted, intracellular, plasma_membrane_transmembrane	3	TRUE	HPMR, CellCellInteractions, OmniPath, UniProt, HPA_secretome, GO_Intercell, LOCATE	FALSE	NA
FOS	14	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, UniProt, LOCATE, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;DoRothEA;PAZAR_DoRothEA;CytReg_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI;HTRI_CollecTRI;FANTOM4_DoRothEA;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST_DoRothEA;ENCODE-proximal;ReMap_DoRothEA;SIGNOR_CollecTRI;HTRIdb;HTRIdb_DoRothEA;HOCOMOCO_DoRothEA;IntAct_DoRothEA;SIGNOR;JASPAR_DoRothEA;Pavlidis2021_CollecTRI;KEGG-MEDICUS;ARACNe-GTEx_DoRothEA;ENCODE-distal;ORegAnno;ORegAnno_DoRothEA;TFactS_DoRothEA;IntAct_CollecTRI
FOSB	19	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;CytReg_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI;HTRI_CollecTRI;SIGNOR_CollecTRI;Pavlidis2021_CollecTRI;DoRothEA;TRRUST_DoRothEA;ARACNe-GTEx_DoRothEA;HTRIdb;HTRIdb_DoRothEA
FOSL1	11	protein	intracellular	intracellular	3	FALSE	LOCATE, ComPPI, OmniPath, GO_Intercell, UniProt	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;CytReg_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI;HTRI_CollecTRI;SIGNOR_CollecTRI;DoRothEA;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA;TFe_DoRothEA;Pavlidis2021_CollecTRI;ARACNe-GTEx_DoRothEA;JASPAR_DoRothEA;HOCOMOCO_DoRothEA;ReMap_DoRothEA;ENCODE-proximal;ENCODE-distal
FOSL2	2	protein	intracellular	intracellular	3	FALSE	LOCATE, ComPPI, UniProt, GO_Intercell, OmniPath	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;CytReg_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI;HTRI_CollecTRI;SIGNOR_CollecTRI;Pavlidis2021_CollecTRI;DoRothEA;IntAct_DoRothEA;ENCODE-proximal;HTRIdb;HTRIdb_DoRothEA;TRRUST_DoRothEA;ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA;ENCODE-distal;FANTOM4_DoRothEA;JASPAR_DoRothEA;SIGNOR;TFactS_DoRothEA;ReMap_DoRothEA
FOXA1	14	protein	intracellular	intracellular	3	FALSE	ComPPI, LOCATE, UniProt, OmniPath, GO_Intercell	TRUE	CollecTRI;DoRothEA;ENCODE-proximal;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;PAZAR_DoRothEA;SIGNOR_CollecTRI;TFe_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;ARACNe-GTEx_DoRothEA;ENCODE-distal;Pavlidis2021_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;CytReg_CollecTRI;IntAct_CollecTRI;IntAct_DoRothEA;ORegAnno_DoRothEA;SIGNOR;ReMap_DoRothEA;TFactS_CollecTRI;HOCOMOCO_DoRothEA;JASPAR_DoRothEA
FOXA2	20	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, OmniPath, UniProt, LOCATE	TRUE	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;Pavlidis2021_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA;TFe_DoRothEA;ENCODE-proximal;GEREDB_CollecTRI;GOA_CollecTRI;ORegAnno;ORegAnno_DoRothEA;ENCODE-distal;SIGNOR;SIGNOR_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;ReMap_DoRothEA;ABS;PAZAR_DoRothEA;HOCOMOCO_DoRothEA
FOXA3	19	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, OmniPath, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;HOCOMOCO_DoRothEA;TFe_DoRothEA
FOXB1	15	protein	intracellular	intracellular	3	FALSE	GO_Intercell, OmniPath, UniProt, ComPPI	FALSE	NA
FOXB2	9	protein	intracellular, transmembrane	intracellular, transmembrane	2	TRUE	UniProt, OmniPath, GO_Intercell, Ramilowski_location	FALSE	NA
FOXC1	6	protein	intracellular	intracellular	3	FALSE	ComPPI, LOCATE, GO_Intercell, UniProt, OmniPath	TRUE	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;GOA_CollecTRI;CytReg_CollecTRI
FOXC2	16	protein	intracellular	intracellular	3	FALSE	ComPPI, LOCATE, GO_Intercell, OmniPath, UniProt	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA
FOXD1	5	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, OmniPath, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;GOA_CollecTRI;GEREDB_CollecTRI
FOXD2	1	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;GOA_CollecTRI;SIGNOR;SIGNOR_CollecTRI
FOXD3	1	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, UniProt, OmniPath	TRUE	CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;GEREDB_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA;CytReg_CollecTRI
FOXD4	9	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI
FOXD4L1	2	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	FALSE	NA
FOXD4L3	9	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, OmniPath, UniProt	FALSE	NA
FOXD4L4	9	protein	intracellular	intracellular	2	FALSE	OmniPath, UniProt, GO_Intercell	FALSE	NA
FOXD4L5	9	protein	intracellular	intracellular	2	FALSE	UniProt, GO_Intercell, OmniPath	FALSE	NA
FOXD4L6	9	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, GO_Intercell, OmniPath	FALSE	NA
FOXE1	9	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	OmniPath, GO_Intercell, ComPPI, Ramilowski_location, UniProt	TRUE	ARACNe-GTEx_DoRothEA;CollecTRI;DoRothEA;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;GEREDB_CollecTRI
FOXE3	1	protein	transmembrane, intracellular	transmembrane, intracellular	2	TRUE	OmniPath, GO_Intercell, UniProt, Ramilowski_location	FALSE	NA
FOXF1	16	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, GO_Intercell, OmniPath	TRUE	CollecTRI;DoRothEA;ExTRI_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;GOA_CollecTRI;GEREDB_CollecTRI
FOXF2	6	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;GOA_CollecTRI;SIGNOR;SIGNOR_CollecTRI
FOXG1	14	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, ComPPI, LOCATE, OmniPath	TRUE	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;Pavlidis2021_CollecTRI
FOXH1	8	protein	transmembrane, intracellular	transmembrane, intracellular	3	TRUE	Ramilowski_location, GO_Intercell, UniProt, ComPPI, OmniPath	TRUE	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;GOA_CollecTRI
FOXI1	5	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, OmniPath, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;SIGNOR_CollecTRI
FOXI2	10	protein	intracellular	intracellular	3	FALSE	OmniPath, GO_Intercell, UniProt, ComPPI	FALSE	NA
FOXI3	2	protein	intracellular	intracellular	2	FALSE	GO_Intercell, OmniPath, UniProt	TRUE	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI
FOXJ1	17	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, OmniPath, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR;SIGNOR_CollecTRI;GEREDB_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA
FOXJ2	12	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, OmniPath, LOCATE, ComPPI	TRUE	CollecTRI;GOA_CollecTRI;ARACNe-GTEx_DoRothEA;DoRothEA;JASPAR_DoRothEA;ReMap_DoRothEA
FOXJ3	1	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, OmniPath, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;SIGNOR;SIGNOR_CollecTRI;GOA_CollecTRI
FOXK1	7	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;GEREDB_CollecTRI
FOXK2	17	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, LOCATE, ComPPI, GO_Intercell	TRUE	CollecTRI;DoRothEA;ExTRI_CollecTRI;GOA_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA
FOXL1	16	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, GO_Intercell, OmniPath	TRUE	CollecTRI;ExTRI_CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA
FOXL2	3	protein	intracellular	intracellular	3	FALSE	LOCATE, ComPPI, OmniPath, GO_Intercell, UniProt	TRUE	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;NTNU.Curated_CollecTRI;TFe_DoRothEA;ARACNe-GTEx_DoRothEA
FOXL3	7	protein	intracellular	intracellular	2	FALSE	GO_Intercell, OmniPath, UniProt	FALSE	NA
FOXM1	12	protein	transmembrane, intracellular	transmembrane, intracellular	3	TRUE	OmniPath, UniProt, GO_Intercell, LOCATE, ComPPI	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;DoRothEA;GEREDB_CollecTRI;ORegAnno;ORegAnno_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;TFactS_CollecTRI;ARACNe-GTEx_DoRothEA;TFe_DoRothEA;HOCOMOCO_DoRothEA;IntAct_DoRothEA;ReMap_DoRothEA;FANTOM4_DoRothEA;PAZAR_DoRothEA
FOXN1	17	protein	intracellular, receptor	intracellular, receptor	3	FALSE	ComPPI, GO_Intercell, OmniPath, scConnect, UniProt	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;DoRothEA;GEREDB_CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA
FOXN2	2	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	FALSE	NA
FOXN3	14	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, LOCATE, GO_Intercell	TRUE	CollecTRI;SIGNOR;SIGNOR_CollecTRI
FOXN4	12	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	TRUE	CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;SIGNOR_CollecTRI;GEREDB_CollecTRI;Pavlidis2021_CollecTRI
FOXO1	13	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	GO_Intercell, LOCATE, OmniPath, ComPPI, UniProt	TRUE	CollecTRI;DoRothEA;ExTRI_CollecTRI;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;SIGNOR_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA;TFe_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;GEREDB_CollecTRI;Pavlidis2021_CollecTRI;SIGNOR;JASPAR_DoRothEA;ReMap_DoRothEA;CytReg_CollecTRI;GOA_CollecTRI;ARACNe-GTEx_DoRothEA;IntAct_DoRothEA;IntAct_CollecTRI;HOCOMOCO_DoRothEA
FOXO3	6	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, ComPPI	TRUE	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;IntAct_DoRothEA;SIGNOR_CollecTRI;TFe_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;IntAct_CollecTRI;SIGNOR;NTNU.Curated_CollecTRI;TFactS_CollecTRI;TFactS_DoRothEA;CytReg_CollecTRI;ARACNe-GTEx_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;FANTOM4_DoRothEA;JASPAR_DoRothEA;HOCOMOCO_DoRothEA;ORegAnno;ORegAnno_DoRothEA;GOA_CollecTRI
FOXO4	X	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, LOCATE, OmniPath, ComPPI	TRUE	CollecTRI;DoRothEA;ExTRI_CollecTRI;GEREDB_CollecTRI;GOA_CollecTRI;TFe_DoRothEA;TFactS_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;NTNU.Curated_CollecTRI;TFactS_DoRothEA;SIGNOR_CollecTRI;HOCOMOCO_DoRothEA;SIGNOR;CytReg_CollecTRI;ORegAnno;ORegAnno_DoRothEA
FOXO6	1	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, ComPPI, OmniPath	TRUE	CollecTRI;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;DoRothEA;IntAct_DoRothEA;SIGNOR;SIGNOR_CollecTRI
FOXP1	3	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, OmniPath, LOCATE, UniProt	TRUE	CollecTRI;ExTRI_CollecTRI;GOA_CollecTRI;DoRothEA;TFe_DoRothEA;SIGNOR_CollecTRI;TRRUST_CollecTRI;TRRUST_DoRothEA;PAZAR_DoRothEA;SIGNOR;CytReg_CollecTRI;GEREDB_CollecTRI;NTNU.Curated_CollecTRI;Pavlidis2021_CollecTRI;JASPAR_DoRothEA;ReMap_DoRothEA;ARACNe-GTEx_DoRothEA;HOCOMOCO_DoRothEA
FOXP2	7	protein	intracellular	intracellular	3	FALSE	LOCATE, ComPPI, GO_Intercell, OmniPath, UniProt	TRUE	CollecTRI;ExTRI_CollecTRI;GOA_CollecTRI;DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;NTNU.Curated_CollecTRI;HOCOMOCO_DoRothEA;SIGNOR;SIGNOR_CollecTRI
