mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome	human_gene_symbol_unique	human_chromosome_unique	entity_type	category	parent	consensus_score	database_cs	database_tf
Bmp2k	5	BMP2K	4	BMP2K	4	protein	receptor, intracellular, transmembrane	receptor, intracellular, transmembrane	3	OmniPath, GO_Intercell, UniProt, LOCATE, scConnect, ComPPI	NA
Bmp3	5	BMP3	4	BMP3	4	protein	secreted, ligand, extracellular, intracellular, growth_factor, ligand_regulator, bmp, ligand_antagonist, cytokine	secreted, ligand, extracellular, intracellular, ligand_regulator	13	Cellinker, talklr, Ramilowski2015, EMBRACE, LOCATE, OmniPath, DGIdb, GO_Intercell, CellTalkDB, HGNC, UniProt, CellChatDB, iTALK, Baccin2019, connectomeDB2020, Kirouac2010, Matrisome, HPA_secretome	NA
Bmp4	14	BMP4	14	BMP4	14	protein	secreted, cytokine, ligand, ecm, intracellular, growth_factor, bmp, extracellular, growthfactor	secreted, ligand, ecm, intracellular, extracellular	21	Cellinker, ICELLNET, Guide2Pharma, UniProt, connectomeDB2020, OmniPath, Ramilowski2015, iTALK, Baccin2019, CellPhoneDB, CellCall, DGIdb, HGNC, SignaLink_function, CellTalkDB, Kirouac2010, CellChatDB, Matrisome, scConnect, LRdb, EMBRACE, HPA_secretome, GO_Intercell, talklr, LOCATE	NA
Bmp5	9	BMP5	6	BMP5	6	protein	intracellular, secreted, cytokine, ligand, growthfactor, extracellular, growth_factor, bmp	intracellular, secreted, ligand, extracellular	20	ComPPI, UniProt, OmniPath, CellPhoneDB, LRdb, Kirouac2010, DGIdb, connectomeDB2020, Matrisome, Baccin2019, Cellinker, HPA_secretome, EMBRACE, scConnect, LOCATE, GO_Intercell, CellCall, talklr, ICELLNET, HGNC, CellChatDB, Ramilowski2015, Guide2Pharma, CellTalkDB, iTALK	NA
Bmp6	13	BMP6	6	BMP6	6	protein	ligand, cytokine, growth_factor, intracellular, secreted, extracellular, growthfactor, bmp	ligand, intracellular, secreted, extracellular	21	DGIdb, CellPhoneDB, OmniPath, UniProt, LOCATE, connectomeDB2020, ICELLNET, Cellinker, Matrisome, CellTalkDB, Kirouac2010, Baccin2019, HPA_secretome, CellCall, Ramilowski2015, talklr, SignaLink_function, ComPPI, LRdb, GO_Intercell, scConnect, iTALK, EMBRACE, Guide2Pharma, HGNC, CellChatDB	NA
Bmp7	2	BMP7	20	BMP7	20	protein	bmp, growth_factor, ligand, extracellular, cytokine, secreted, ecm, intracellular, growthfactor	ligand, extracellular, secreted, ecm, intracellular	21	HGNC, DGIdb, CellPhoneDB, Matrisome, Kirouac2010, LOCATE, Baccin2019, UniProt, Cellinker, OmniPath, CellCellInteractions, iTALK, CellCall, LRdb, ICELLNET, SignaLink_function, connectomeDB2020, EMBRACE, CellTalkDB, Guide2Pharma, GO_Intercell, ComPPI, talklr, HPA_secretome, CellChatDB, scConnect, Ramilowski2015	NA
Bmper	9	BMPER	7	BMPER	7	protein	ligand, secreted, extracellular, ligand_regulator, growth_factor_binder, intracellular, ecm, cysteine_rich_bmp_regulator, glycoprotein	ligand, secreted, extracellular, ligand_regulator, intracellular, ecm	3	OmniPath, UniProt, LOCATE, Matrisome, GO_Intercell, MatrixDB, HGNC, HPA_secretome	NA
Bmpr1a	14	BMPR1A	10	BMPR1A	10	protein	alk_serine_threonine_kinase_tgf_beta_serine_threonine_kinase, receptor, transmembrane, intracellular, kinase, transforming_growth_factor, transmembrane_phobius, type1_serine_threonine_kinase, cell_adhesion, transmembrane_tmhmm, act_tgfb, transmembrane_predicted, plasma_membrane_transmembrane, cytokine, plasma_membrane, cell_surface, adhesion, extracellular, seven_transmembrane_7tm, tgf_beta_serine_threonine_kinase	receptor, transmembrane, intracellular, transmembrane_predicted, cell_adhesion, plasma_membrane_transmembrane, plasma_membrane, cell_surface, adhesion, extracellular	21	HPMR, CellPhoneDB, ComPPI, scConnect, Surfaceome, Almen2009, CellTalkDB, TopDB, Ramilowski_location, talklr, OmniPath, HGNC, LOCATE, UniProt, Baccin2019, ICELLNET, LRdb, connectomeDB2020, CellCellInteractions, DGIdb, Ramilowski2015, iTALK, Cellinker, GO_Intercell, CellCall, Membranome, Guide2Pharma, SignaLink_function, Phobius, EMBRACE	NA
Bmpr1b	3	BMPR1B	4	BMPR1B	4	protein	receptor, cell_adhesion, tgfbeta_receptor, extracellular, intracellular, transmembrane, tgf_beta_serine_threonine_kinase, adhesion, seven_transmembrane_7tm, transmembrane_predicted, cell_surface, transmembrane_sosui, plasma_membrane_transmembrane, plasma_membrane, cytokine, type1_serine_threonine_kinase, transmembrane_tmhmm, kinase, alk_serine_threonine_kinase_tgf_beta_serine_threonine_kinase, transforming_growth_factor, transmembrane_phobius	receptor, cell_adhesion, extracellular, intracellular, transmembrane, transmembrane_predicted, adhesion, cell_surface, plasma_membrane_transmembrane, plasma_membrane	19	ICELLNET, Cellinker, CellPhoneDB, CellCall, OmniPath, LOCATE, TopDB, HPMR, CellTalkDB, iTALK, GO_Intercell, Phobius, HGNC, UniProt, LRdb, scConnect, connectomeDB2020, Baccin2019, SignaLink_function, Almen2009, CellCellInteractions, talklr, Ramilowski2015, Membranome, Ramilowski_location, EMBRACE, Guide2Pharma	NA
Bmpr2	1	BMPR2	2	BMPR2	2	protein	plasma_membrane_transmembrane, receptor, transmembrane, cytokine, tgfbeta_receptor, intracellular, act_tgfb, cell_surface, seven_transmembrane_7tm, kinase, plasma_membrane, extracellular, transforming_growth_factor, type_2_receptor_serine_threonine_kinase_tgf_beta_serine_threonine_kinase, transmembrane_phobius, type2_serine_threonine_kinase, transmembrane_predicted, transmembrane_sosui, transmembrane_tmhmm, tgf_beta_serine_threonine_kinase	plasma_membrane_transmembrane, receptor, transmembrane, intracellular, cell_surface, plasma_membrane, extracellular, transmembrane_predicted	21	HPMR, OmniPath, Ramilowski_location, ICELLNET, CellPhoneDB, CellCall, SignaLink_function, Surfaceome, Baccin2019, scConnect, LOCATE, Almen2009, UniProt, talklr, Membranome, CellTalkDB, HGNC, Cellinker, EMBRACE, connectomeDB2020, TopDB, Ramilowski2015, CSPA, Guide2Pharma, GO_Intercell, Phobius, LRdb, CellCellInteractions, ComPPI, iTALK	NA
Bms1	6	BMS1	10	BMS1	10	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Bmt2	6	BMT2	7	BMT2	7	protein	intracellular	intracellular	2	OmniPath, ComPPI, GO_Intercell	NA
Bmx	X	BMX	X	BMX	X	protein	receptor, intracellular	receptor, intracellular	3	OmniPath, UniProt, scConnect, ComPPI, GO_Intercell, LOCATE	NA
Bnc1	7	BNC1	15	BNC1	15	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	NA
Bnc2	4	BNC2	9	BNC2	9	protein	intracellular	intracellular	3	OmniPath, UniProt, ComPPI, GO_Intercell	NA
Bnip1	17	BNIP1	5	BNIP1	5	protein	transmembrane_predicted, intracellular, transmembrane, transmembrane_sosui, transmembrane_phobius, transmembrane_tmhmm	transmembrane, intracellular, transmembrane_predicted	5	OmniPath, GO_Intercell, Phobius, Almen2009, UniProt, ComPPI, Ramilowski_location	NA
Bnip2	9	BNIP2	15	BNIP2	15	protein	transmembrane, intracellular	transmembrane, intracellular	3	Ramilowski_location, ComPPI, OmniPath, LOCATE, GO_Intercell, UniProt	NA
Bnip3	7	BNIP3	10	BNIP3	10	protein	transmembrane, transmembrane_phobius, transmembrane_tmhmm, intracellular, transmembrane_predicted	transmembrane_predicted, transmembrane, intracellular	7	Phobius, Almen2009, UniProt, TopDB, OmniPath, LOCATE, GO_Intercell, ComPPI, Ramilowski_location	NA
Bnip3l	14	BNIP3L	8	BNIP3L	8	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	5	UniProt, OmniPath, LOCATE, Phobius, ComPPI, Ramilowski_location, GO_Intercell	NA
Bnipl	3	BNIPL	1	BNIPL	1	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	2	GO_Intercell, Ramilowski_location, OmniPath, LOCATE, ComPPI, Phobius	NA
Boc	16	BOC	3	BOC	3	protein	cell_surface, receptor, plasma_membrane_transmembrane, transmembrane, cell_adhesion, ig_like, ig, plasma_membrane, extracellular, intracellular, activating_cofactor, transmembrane_phobius, adhesion, netrin, cell_surface_ligand, transmembrane_tmhmm, netrinr, dcc, icam, transmembrane_sosui, transmembrane_predicted, receptor_regulator	cell_surface, receptor, plasma_membrane_transmembrane, transmembrane, cell_adhesion, plasma_membrane, extracellular, intracellular, receptor_regulator, transmembrane_predicted, adhesion, cell_surface_ligand	12	connectomeDB2020, iTALK, OmniPath, UniProt, Cellinker, Almen2009, Surfaceome, TopDB, HPMR, talklr, CellPhoneDB, CellChatDB, HGNC, ComPPI, Ramilowski2015, Baccin2019, Zhong2015, Ramilowski_location, EMBRACE, CellTalkDB, Membranome, LRdb, Phobius	NA
Bod1	11	BOD1, BOD1L2	5, 18	BOD1	5	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, UniProt, OmniPath	NA
Bod1l	5	BOD1L1	4	BOD1L1	4	protein	intracellular	intracellular	3	OmniPath, UniProt, GO_Intercell, ComPPI	NA
Bok	1	BOK	2	BOK	2	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	4	Ramilowski_location, OmniPath, ComPPI, UniProt, GO_Intercell, Phobius	NA
Bola1	3	BOLA1	1	BOLA1	1	protein	intracellular	intracellular	3	OmniPath, UniProt, GO_Intercell, ComPPI	NA
Bola2	7	BOLA2	16	BOLA2	16	protein	intracellular	intracellular	3	ComPPI, OmniPath, UniProt, GO_Intercell	NA
Bola3	6	BOLA3	2	BOLA3	2	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, OmniPath, UniProt	NA
Boll	1	BOLL	2	BOLL	2	protein	intracellular	intracellular	3	UniProt, GO_Intercell, OmniPath, ComPPI	NA
Bop1	15	BOP1	8	BOP1	8	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, LOCATE, UniProt	NA
Bora	14	BORA	13	BORA	13	protein	intracellular	intracellular	2	GO_Intercell, OmniPath, ComPPI	NA
Borcs5	6	BORCS5	12	BORCS5	12	protein	intracellular	intracellular	3	UniProt, ComPPI, OmniPath, GO_Intercell	NA
Borcs6	11	BORCS6	17	BORCS6	17	protein	intracellular	intracellular	3	UniProt, GO_Intercell, ComPPI, OmniPath	NA
Borcs7	19	BORCS7, BORCS7-ASMT	10	BORCS7	10	protein	intracellular	intracellular	3	GO_Intercell, ComPPI, UniProt, OmniPath	NA
Borcs8	8	BORCS8	19	BORCS8	19	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, UniProt, OmniPath	NA
Bpgm	6	BPGM	7	BPGM	7	protein	intracellular	intracellular	2	GO_Intercell, OmniPath, ComPPI	NA
Bphl	13	BPHL	6	BPHL	6	protein	intracellular	intracellular	2	OmniPath, GO_Intercell, ComPPI	NA
Bpi	2	BPI	20	BPI	20	protein	secreted, ligand, intracellular, bpi_fold_containing	secreted, ligand, intracellular	4	HPA_secretome, UniProt, OmniPath, ComPPI, HGNC, Cellinker, GO_Intercell	NA
Bpifa1	2	BPIFA1	20	BPIFA1	20	protein	secreted, extracellular, bpi_fold_containing	secreted, extracellular	3	OmniPath, UniProt, HPA_secretome, HGNC	NA
Bpifa2	2	BPIFA2	20	BPIFA2	20	protein	bpi_fold_containing, secreted, intracellular	secreted, intracellular	3	HGNC, HPA_secretome, OmniPath, UniProt, GO_Intercell	NA
Bpifa3	2	BPIFA3	20	BPIFA3	20	protein	secreted, bpi_fold_containing	secreted	3	OmniPath, UniProt, HPA_secretome, HGNC	NA
Bpifa5	2	BPIFA1	20	BPIFA1	20	protein	secreted, extracellular, bpi_fold_containing	secreted, extracellular	3	OmniPath, UniProt, HPA_secretome, HGNC	NA
Bpifb1	2	BPIFB1	20	BPIFB1	20	protein	secreted, bpi_fold_containing	secreted	3	UniProt, HPA_secretome, OmniPath, HGNC	NA
Bpifb2	2	BPIFB2	20	BPIFB2	20	protein	intracellular, secreted, bpi_fold_containing	intracellular, secreted	2	ComPPI, UniProt, GO_Intercell, HGNC, OmniPath	NA
Bpifb3	2	BPIFB3	20	BPIFB3	20	protein	intracellular, secreted, bpi_fold_containing, extracellular	intracellular, secreted, extracellular	3	GO_Intercell, OmniPath, ComPPI, UniProt, HGNC	NA
Bpifb4	2	BPIFB4	20	BPIFB4	20	protein	bpi_fold_containing, secreted, intracellular	secreted, intracellular	3	HGNC, UniProt, OmniPath, HPA_secretome, GO_Intercell	NA
Bpifb6	2	BPIFB6	20	BPIFB6	20	protein	secreted, bpi_fold_containing	secreted	2	OmniPath, UniProt, HGNC	NA
Bpifc	10	BPIFC	22	BPIFC	22	protein	secreted, bpi_fold_containing	secreted	3	HPA_secretome, UniProt, HGNC, OmniPath	NA
Bpnt1	1	BPNT1	1	BPNT1	1	protein	intracellular	intracellular	2	ComPPI, OmniPath, GO_Intercell	NA
Bpnt2	4	BPNT2	8	BPNT2	8	protein	intracellular, transmembrane_tmhmm, transmembrane, transmembrane_sosui, transmembrane_predicted, transmembrane_phobius	intracellular, transmembrane_predicted, transmembrane	6	ComPPI, GO_Intercell, UniProt, Almen2009, TopDB, OmniPath, Phobius, Ramilowski_location	NA
Bptf	11	BPTF	17	BPTF	17	protein	receptor, intracellular, transmembrane	receptor, intracellular, transmembrane	3	OmniPath, UniProt, ComPPI, LOCATE, scConnect, GO_Intercell, Ramilowski_location	CollecTRI;DoRothEA;TRRUST_CollecTRI;TRRUST_DoRothEA;IntAct_CollecTRI;IntAct_DoRothEA
Braf	6	BRAF	7	BRAF	7	protein	receptor, plasma_membrane, intracellular	receptor, plasma_membrane, intracellular	3	scConnect, OmniPath, UniProt, GO_Intercell, LOCATE, ComPPI	SIGNOR
Brap	5	BRAP	12	BRAP	12	protein	intracellular	intracellular	3	ComPPI, LOCATE, GO_Intercell, UniProt, OmniPath	NA
Brat1	5	BRAT1	7	BRAT1	7	protein	intracellular	intracellular	3	GO_Intercell, ComPPI, OmniPath, UniProt	NA
Brca1	11	BRCA1	17	BRCA1	17	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	3	OmniPath, Ramilowski_location, Phobius, ComPPI, UniProt, GO_Intercell, LOCATE	CollecTRI;TRRUST_CollecTRI;NTNU.Curated_CollecTRI;HTRI_CollecTRI;HTRIdb;SIGNOR_CollecTRI;ENCODE-proximal;TFactS_CollecTRI;GOA_CollecTRI;ENCODE-distal
Brca2	5	BRCA2	13	BRCA2	13	protein	intracellular	intracellular	3	ComPPI, UniProt, GO_Intercell, OmniPath	NA
Brcc3	X	BRCC3	X	BRCC3	X	protein	intracellular	intracellular	3	OmniPath, LOCATE, GO_Intercell, UniProt, ComPPI	NA
Brd1	15	BRD1	22	BRD1	22	protein	intracellular, receptor	intracellular, receptor	3	GO_Intercell, UniProt, ComPPI, OmniPath, scConnect, LOCATE	NA
Brd2	17	BRD2	6	BRD2	6	protein	intracellular, receptor	intracellular, receptor	3	UniProt, scConnect, GO_Intercell, ComPPI, LOCATE, OmniPath	NA
Brd3	2	BRD3	9	BRD3	9	protein	receptor, intracellular	receptor, intracellular	3	OmniPath, ComPPI, LOCATE, scConnect, UniProt, GO_Intercell	NA
Brd4	17	BRD4	19	BRD4	19	protein	intracellular, receptor	intracellular, receptor	3	UniProt, scConnect, OmniPath, LOCATE, GO_Intercell, ComPPI	NA
Brd7	8	BRD7	16	BRD7	16	protein	transmembrane, receptor, intracellular	transmembrane, receptor, intracellular	3	Ramilowski_location, OmniPath, ComPPI, GO_Intercell, scConnect, UniProt, LOCATE	CollecTRI;SIGNOR_CollecTRI;TRRUST_CollecTRI
Brd8	18	BRD8	5	BRD8	5	protein	intracellular, receptor	intracellular, receptor	3	ComPPI, OmniPath, scConnect, UniProt, GO_Intercell	NA
Brd9	13	BRD9	5	BRD9	5	protein	receptor, transmembrane, intracellular	receptor, transmembrane, intracellular	2	OmniPath, Ramilowski_location, GO_Intercell, ComPPI, scConnect	NA
Brdt	5	BRDT	1	BRDT	1	protein	intracellular, receptor	intracellular, receptor	3	LOCATE, UniProt, ComPPI, scConnect, OmniPath, GO_Intercell	NA
Brf1	12	BRF1	14	BRF1	14	protein	intracellular	intracellular	3	UniProt, OmniPath, GO_Intercell, ComPPI	ENCODE-proximal
Brf2	8	BRF2	8	BRF2	8	protein	intracellular	intracellular	3	OmniPath, ComPPI, GO_Intercell, UniProt	ENCODE-proximal
Bri3	5	BRI3	7	BRI3	7	protein	intracellular, transmembrane, transmembrane_predicted, transmembrane_phobius	intracellular, transmembrane, transmembrane_predicted	6	UniProt, OmniPath, Ramilowski_location, Phobius, LOCATE, GO_Intercell, Almen2009	NA
Bri3bp	5	BRI3BP	12	BRI3BP	12	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	4	OmniPath, UniProt, Ramilowski_location, Phobius, GO_Intercell, ComPPI	NA
Bricd5	17	BRICD5	16	BRICD5	16	protein	transmembrane_predicted, transmembrane, intracellular, transmembrane_tmhmm, transmembrane_sosui	transmembrane, intracellular, transmembrane_predicted	5	OmniPath, UniProt, ComPPI, Almen2009, Ramilowski_location, Phobius	NA
Brinp1	4	BRINP1	9	BRINP1	9	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Brinp2	1	BRINP2	1	BRINP2	1	protein	intracellular, secreted, ligand	intracellular, secreted, ligand	4	OmniPath, UniProt, Matrisome, HPA_secretome, ComPPI, GO_Intercell	NA
Brinp3	1	BRINP3	1	BRINP3	1	protein	intracellular, transmembrane_predicted, secreted, ligand, transmembrane, transmembrane_sosui, transmembrane_phobius	intracellular, transmembrane, secreted, ligand, transmembrane_predicted	4	ComPPI, OmniPath, Matrisome, UniProt, Phobius, GO_Intercell, HPA_secretome, Almen2009	NA
Brip1	11	BRIP1	17	BRIP1	17	protein	intracellular	intracellular	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
Brix1	15	BRIX1	5	BRIX1	5	protein	intracellular, extracellular	intracellular, extracellular	3	ComPPI, OmniPath, LOCATE, UniProt, GO_Intercell	NA
Brk1	6	BRK1	3	BRK1	3	protein	intracellular	intracellular	3	OmniPath, UniProt, GO_Intercell, ComPPI	NA
Brme1	8	BRME1	19	BRME1	19	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Brms1	19	BRMS1	11	BRMS1	11	protein	intracellular	intracellular	3	UniProt, OmniPath, ComPPI, LOCATE, GO_Intercell	NA
Brms1l	12	BRMS1L	14	BRMS1L	14	protein	intracellular	intracellular	3	UniProt, ComPPI, GO_Intercell, OmniPath	NA
Brox	1	BROX	1	BROX	1	protein	intracellular	intracellular	2	ComPPI, GO_Intercell, OmniPath	NA
Brpf1	6	BRPF1	3	BRPF1	3	protein	receptor, intracellular	receptor, intracellular	3	scConnect, ComPPI, LOCATE, GO_Intercell, OmniPath, UniProt	NA
Brpf3	17	BRPF3	6	BRPF3	6	protein	intracellular, receptor, transmembrane	intracellular, receptor, transmembrane	3	UniProt, scConnect, Ramilowski_location, ComPPI, OmniPath, GO_Intercell, LOCATE	NA
Brs3	X	BRS3	X	BRS3	X	protein	rhodopsin, receptor, plasma_membrane, gpcr, seven_transmembrane_7tm, extracellular, transmembrane, class_a_rhodopsin, plasma_membrane_transmembrane, endothelin_gastrin_releasing_peptide_7tm_a, 7tm_a, cell_surface, class_a_rhodopsin_peptide, bombesin, class_a_rhodopsin_peptide_bombesin	receptor, plasma_membrane, extracellular, transmembrane, plasma_membrane_transmembrane, cell_surface, transmembrane_predicted	14	Surfaceome, OmniPath, DGIdb, UniProt, CellTalkDB, Almen2009, HPMR, GO_Intercell, GPCRdb, talklr, ICELLNET, Ramilowski2015, iTALK, scConnect, HGNC, CellCellInteractions, LRdb, Baccin2019, Ramilowski_location, connectomeDB2020, Phobius, LOCATE	NA
Brsk1	7	BRSK1	19	BRSK1	19	protein	transmembrane, transmembrane_sosui, intracellular, receptor, transmembrane_predicted, transmembrane_phobius	transmembrane, transmembrane_predicted, intracellular, receptor	3	Ramilowski_location, Almen2009, OmniPath, Phobius, ComPPI, UniProt, LOCATE, GO_Intercell, scConnect	NA
Brsk2	7	BRSK2	11	BRSK2	11	protein	intracellular, receptor, transmembrane, transmembrane_sosui, transmembrane_phobius, transmembrane_predicted	intracellular, receptor, transmembrane, transmembrane_predicted	3	GO_Intercell, OmniPath, Ramilowski_location, Almen2009, scConnect, ComPPI, Phobius, LOCATE, UniProt	NA
Brwd1	16	BRWD1	21	BRWD1	21	protein	intracellular, receptor	intracellular, receptor	3	GO_Intercell, UniProt, ComPPI, OmniPath, scConnect	NA
Brwd3	X	BRWD3	X	BRWD3	X	protein	intracellular, receptor	intracellular, receptor	2	OmniPath, ComPPI, scConnect, GO_Intercell	NA
Bscl2	19	BSCL2	11	BSCL2	11	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	7	ComPPI, TopDB, OmniPath, OPM, LOCATE, GO_Intercell, Ramilowski_location, Phobius, UniProt	NA
Bsdc1	4	BSDC1	1	BSDC1	1	protein	intracellular	intracellular	2	GO_Intercell, OmniPath, ComPPI	NA
Bsg	10	BSG	19	BSG	19	protein	receptor, transmembrane, cell_surface_ligand, cell_surface, adhesion, intracellular, cell_adhesion, plasma_membrane_transmembrane, basigin, plasma_membrane, extracellular	receptor, transmembrane_predicted, cell_surface_ligand, cell_surface, adhesion, transmembrane, intracellular, cell_adhesion, plasma_membrane_transmembrane, plasma_membrane, extracellular	5	HGNC, Phobius, CellPhoneDB, scConnect, Surfaceome, OmniPath, UniProt, LOCATE, ComPPI, CellCellInteractions, Cellinker, TopDB, Membranome, connectomeDB2020, CSPA, Ramilowski_location, GO_Intercell	NA
Bsn	9	BSN	3	BSN	3	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, UniProt, ComPPI	NA
Bsnd	4	BSND	1	BSND	1	protein	plasma_membrane, transmembrane, intracellular	plasma_membrane, transmembrane, intracellular, transmembrane_predicted	5	UniProt, LOCATE, OmniPath, Phobius, ComPPI, Ramilowski_location, GO_Intercell	NA
Bsph1	7	BSPH1	19	BSPH1	19	protein	ecm, secreted, glycoprotein	ecm, secreted	3	OmniPath, UniProt, Matrisome, HPA_secretome, MatrixDB	NA
Bspry	4	BSPRY	9	BSPRY	9	protein	intracellular	intracellular	3	ComPPI, LOCATE, OmniPath, UniProt, GO_Intercell	NA
Bst1	5	BST1	4	BST1	4	protein	cell_surface, peripheral, plasma_membrane, plasma_membrane_peripheral, intracellular, extracellular	cell_surface, peripheral, plasma_membrane, plasma_membrane_peripheral, intracellular, extracellular	2	OmniPath, UniProt, CSPA, LOCATE, GO_Intercell, Surfaceome	NA
Bst2	8	BST2	19	BST2	19	protein	cell_surface_ligand, extracellular, cell_surface, ligand, transmembrane, peripheral, intracellular, cell_adhesion, plasma_membrane_transmembrane, plasma_membrane, apical_cell_membrane, transmembrane_phobius, plasma_membrane_peripheral, transmembrane_predicted, transmembrane_tmhmm, adhesion	cell_surface_ligand, extracellular, cell_surface, ligand, transmembrane, peripheral, intracellular, cell_adhesion, plasma_membrane_transmembrane, plasma_membrane, transmembrane_predicted, plasma_membrane_peripheral, adhesion	7	connectomeDB2020, OmniPath, CellTalkDB, UniProt, TopDB, LOCATE, Cellinker, Almen2009, ComPPI, LRdb, CellPhoneDB, Ramilowski_location, CSPA, Surfaceome, Phobius, GO_Intercell	NA
Bsx	9	BSX	11	BSX	11	protein	intracellular	intracellular	2	OmniPath, GO_Intercell, UniProt	CollecTRI;ExTRI_CollecTRI;GEREDB_CollecTRI
Btaf1	19	BTAF1	10	BTAF1	10	protein	intracellular	intracellular	3	GO_Intercell, ComPPI, OmniPath, LOCATE, UniProt	CollecTRI;TRRUST_CollecTRI
Btbd1	7	BTBD1	15	BTBD1	15	protein	intracellular	intracellular	3	OmniPath, UniProt, GO_Intercell, LOCATE, ComPPI	NA
Btbd10	7	BTBD10	11	BTBD10	11	protein	intracellular	intracellular	3	ComPPI, UniProt, GO_Intercell, OmniPath	NA
Btbd16	7	BTBD16	10	BTBD16	10	protein	transmembrane, intracellular	transmembrane, intracellular	1	OmniPath, Ramilowski_location, ComPPI	NA
Btbd17	11	BTBD17	17	BTBD17	17	protein	secreted, intracellular	secreted, intracellular	3	OmniPath, GO_Intercell, HPA_secretome, UniProt	NA
Btbd18	2	BTBD18	11	BTBD18	11	protein	intracellular	intracellular	3	GO_Intercell, UniProt, OmniPath, ComPPI	NA
Btbd2	10	BTBD2	19	BTBD2	19	protein	intracellular	intracellular	3	GO_Intercell, UniProt, LOCATE, ComPPI, OmniPath	NA
Btbd3	2	BTBD3	20	BTBD3	20	protein	intracellular	intracellular	3	UniProt, GO_Intercell, OmniPath, ComPPI	NA
Btbd6	12	BTBD6	14	BTBD6	14	protein	intracellular	intracellular	3	OmniPath, GO_Intercell, ComPPI, UniProt	NA
Btbd7	12	BTBD7	14	BTBD7	14	protein	intracellular	intracellular	3	ComPPI, UniProt, OmniPath, GO_Intercell	NA
Btbd8	5	BTBD8	1	BTBD8	1	protein	intracellular	intracellular	3	UniProt, GO_Intercell, OmniPath, ComPPI	NA
Btbd9	17	BTBD9	6	BTBD9	6	protein	intracellular	intracellular	2	OmniPath, ComPPI, GO_Intercell	NA
Btc	5	BTC	4	BTC	4	protein	cell_surface, transmembrane_sosui, secreted, cell_surface_ligand, ligand, transmembrane, extracellular, growth_factor, intracellular, transmembrane_phobius, plasma_membrane, transmembrane_tmhmm, growthfactor, plasma_membrane_transmembrane, transmembrane_predicted	cell_surface, transmembrane_predicted, secreted, cell_surface_ligand, ligand, transmembrane, extracellular, intracellular, plasma_membrane, plasma_membrane_transmembrane	19	OmniPath, Almen2009, Cellinker, Matrisome, CellPhoneDB, connectomeDB2020, LOCATE, talklr, UniProt, iTALK, Surfaceome, GO_Intercell, DGIdb, CellChatDB, CellCall, scConnect, Baccin2019, Phobius, Kirouac2010, Guide2Pharma, LRdb, SignaLink_function, ICELLNET, TopDB, Membranome, Ramilowski_location, HPA_secretome, CellTalkDB, Ramilowski2015	NA
Btd	14	BTD	3	BTD	3	protein	secreted, biotinidase, transmembrane, intracellular, extracellular, secreted_enzyme	secreted, secreted_enzyme, transmembrane, intracellular, extracellular	3	HPA_secretome, OmniPath, UniProt, LOCATE, GO_Intercell	NA
Btf3	13	BTF3	5	BTF3	5	protein	intracellular	intracellular	3	UniProt, GO_Intercell, ComPPI, OmniPath	NA
Btf3l4	4	BTF3L4	1	BTF3L4	1	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
Btg1	10	BTG1	12	BTG1	12	protein	intracellular	intracellular	2	ComPPI, GO_Intercell, OmniPath	NA
Btg2	1	BTG2	1	BTG2	1	protein	intracellular	intracellular	2	OmniPath, GO_Intercell, ComPPI	CollecTRI;TRRUST_CollecTRI;SIGNOR_CollecTRI
Btg3	16	BTG3	21	BTG3	21	protein	intracellular	intracellular	2	ComPPI, GO_Intercell, OmniPath	NA
Btg4	9	BTG4	11	BTG4	11	protein	intracellular	intracellular	2	GO_Intercell, ComPPI, OmniPath	NA
Btk	X	BTK	X	BTK	X	protein	receptor, cell_adhesion, intracellular, plasma_membrane, adhesion	receptor, cell_adhesion, intracellular, plasma_membrane, adhesion	3	OmniPath, GO_Intercell, UniProt, scConnect, ComPPI, Cellinker, LOCATE	NA
